region,topic,progress,title,text,simplified_text
basilicata,Regolamento del Verde urbano pubblico e privato,1,Art. 1 - GENERALITÀ,"Il presente Regolamento del Verde Urbano Pubblico e Privato, di seguito chiamato semplicemente Regolamento, detta la disciplina degli interventi sulla vegetazione e sulle alberature ricadenti nel territorio comunale, al fine di garantirne la valorizzazione, la salvaguardia e la razionale gestione, nel rispetto delle condizioni di decoro, sicurezza, incolumità pubblica e accessibilità.

Le norme del Regolamento si applicano in particolare:
- a tutte le aree di proprietà pubblica da sistemare a verde, ovunque ubicate;
- alle alberature delle zone, sia pubbliche che private, interne al perimetro del centro abitato;
- alle alberature delle zone, sia pubbliche che private, ubicate entro mt. 30,00 dalla mezzeria delle strade pubbliche, ed entro mt. 30,00 da corsi d'acqua;
- alle alberature che rivestono prevalente funzione ornamentale, di pertinenza di costruzioni edilizie, ovunque ubicate.

Non sono oggetto del Regolamento, indipendentemente dall'ubicazione, gli alberi da frutto, gli alberi costituenti colture arboree specializzate per arboricoltura da legno, gli alberi facenti parte di formazioni forestali e, in generale, tutta la vegetazione ricadente nelle zone rurali coltivate.

L'Ufficio competente per le materie disciplinate dal Regolamento è l'Ufficio Verde Urbano Pubblico e Privato, istituito presso l'Unità di Direzione ""Centro Storico - Qualità Urbana"" del Comune.

Ai fini del Regolamento le alberature in ambito comunale sono classificate come segue, in funzione della loro altezza e dello sviluppo a maturità:
- piante di 1a grandezza con altezza > mt. 18,00
- piante di 2a grandezza con altezza tra mt. 12,00 e 18,00
- piante di 3a grandezza con altezza < mt. 12,00
- alberature ed arbusti con altezza < mt. 5,00

Possono sottoscrivere progetti e relazioni tecniche relativi a interventi disciplinati dal presente Regolamento, le figure professionali e i tecnici specificamente abilitati in materia botanica e ambientale.","Questo Regolamento del Verde Urbano Pubblico e Privato, che chiameremo semplicemente Regolamento, stabilisce le regole per gli interventi su piante e alberi nel territorio del comune. L'obiettivo è valorizzare, proteggere e gestire in modo razionale la vegetazione, rispettando il decoro, la sicurezza, la pubblica incolumità e l'accessibilità.

Le norme del Regolamento si applicano a:
- tutte le aree pubbliche destinate a verde, ovunque si trovino;
- gli alberi nelle zone pubbliche e private all'interno del centro abitato;
- gli alberi nelle zone pubbliche e private entro 30 metri dal centro delle strade pubbliche e dai corsi d'acqua;
- gli alberi con funzione ornamentale vicino agli edifici, ovunque si trovino.

Il Regolamento non si applica a:
- alberi da frutto;
- alberi coltivati per legname;
- alberi parte di foreste;
- vegetazione nelle zone rurali coltivate.

L'Ufficio Verde Urbano Pubblico e Privato, che fa parte dell'Unità di Direzione ""Centro Storico - Qualità Urbana"" del Comune, è responsabile delle materie del Regolamento.

Le alberature nel comune sono classificate in base alla loro altezza e sviluppo a maturità:
- piante di 1a grandezza: altezza superiore a 18 metri;
- piante di 2a grandezza: altezza tra 12 e 18 metri;
- piante di 3a grandezza: altezza inferiore a 12 metri;
- alberature e arbusti: altezza inferiore a 5 metri.

Solo i professionisti e i tecnici abilitati in botanica e ambiente possono firmare progetti e relazioni tecniche per gli interventi previsti dal Regolamento."
basilicata,Regolamento del Verde urbano pubblico e privato,2,Art. 2 SALVAGUARDIA DELLE ALBERATURE ESISTENTI,"Su tutto il territorio comunale sono oggetto di particolare salvaguardia:
- gli arbusti che per rarità di specie, morfologia o vetustà, risultino di particolare pregio;
- gli alberi (conifere e latifoglie) aventi circonferenza del fusto, misurata a cm. 130 di altezza dal colletto, superiore alle misure sotto indicate:
    - cm. 60 per piante di 1a grandezza
    - cm. 50 per piante di 2a grandezza
    - cm. 30 per piante di 3a grandezza
- le piante con più fusti, qualora almeno uno di essi raggiunga la circonferenza pari a cm. 20.
- gli alberi ricadenti nei Parchi urbani e nei Giardini storici e gli alberi monumentali di cui al successivo articolo 14.

Le operazioni di sostituzione di alberi esistenti e di impianto di nuove alberature sono assoggettate alle prescrizioni dettate dall'articolo 6 del Regolamento.","Nel nostro comune, proteggiamo in modo speciale:

- Gli arbusti che sono rari, hanno una forma particolare o sono molto vecchi e preziosi.
- Gli alberi, sia conifere che latifoglie, con un tronco di una certa circonferenza misurata a 130 cm dal suolo:
  - 60 cm per alberi di prima grandezza
  - 50 cm per alberi di seconda grandezza
  - 30 cm per alberi di terza grandezza
- Le piante con più tronchi, se almeno uno di questi ha una circonferenza di 20 cm.
- Gli alberi nei parchi urbani, nei giardini storici e gli alberi monumentali descritti nell'articolo 14.

Per sostituire alberi esistenti o piantare nuovi alberi, bisogna seguire le regole dell'articolo 6 del Regolamento."
basilicata,Regolamento del Verde urbano pubblico e privato,3,Art. 3 ABBATTIMENTI,"L'abbattimento di alberi vivi, deperienti o morti, salvo il caso di interventi effettuati direttamente dall'Amministrazione comunale, è soggetto a richiesta di autorizzazione corredata della documentazione di cui all'Allegato A, necessaria a individuare l'operazione e descriverne le motivazioni.

Sull'istanza di abbattimento, regolarmente presentata e documentata, l'Ufficio competente si esprime entro 20 giorni, decorsi i quali l'intervento si intende autorizzato.

L'autorizzazione al taglio di alberi fissa condizioni circa:
- modalità e tempi di abbattimento, con l'obbligo di rispettare, per quanto possibile e salvo casi di pericolo imminente, il periodo di riproduzione dell'avifauna (marzo-agosto);
- modalità e tempi per interventi di sostituzione e impianto di nuove alberature (essenze da utilizzare, nuovo terreno di coltivo, estirpazione delle ceppaie, etc.)

Qualora l'abbattimento riguardi alberi su suolo pubblico, gli interessati sono tenuti a corrispondere all'Amministrazione comunale una somma pari al valore ornamentale (V.O.) della pianta, calcolata secondo la metodologia di cui all'Allegato A.

Sono assoggettati alla disciplina del presente articolo anche gli abbattimenti necessari per l'attuazione degli strumenti urbanistici e per la realizzazione di opere pubbliche.

Sono esclusi dalle norme del presente articolo gli abbattimenti ordinati da sentenze giudiziarie, quelli da eseguire in attuazione del Codice della Strada e ogni intervento programmato dall'Amministrazione comunale per ragioni di incolumità pubblica, per evitare scosciature da carichi da neve e per la riqualificazione delle condizioni ambientali e vegetazionali attraverso sfolli o diradamenti.

L'Amministrazione Comunale e/o il proprietario dell'area, previo rilascio del nulla osta da parte dell'ufficio comunale competente sul Verde Urbano, potranno procedere all'abbattimento di alberi vivi e/o in buono stato vegetativo che presentino un apparato radicale (ipogeo) che provochi il danneggiamento della sede stradale, con pregiudizio per la sicurezza stradale, con pregiudizio per la sicurezza della circolazione di veicoli e pedoni, o che procuri danni alle pertinenze di proprietà dell'Ente o di privati o che comprometta la stabilità o la funzionalità di edifici pubblici o privati situati nell'immediata vicinanza dell'albero. La valutazione sull'abbattimento da parte dell'ufficio competente sul Vede Urbano non potrà essere limitata al solo rialzo della zona del colletto dell'albero ma dovrà verificare il danno prodotto dall'intero apparato radicale. La valutazione sulla necessità di procedere all'abbattimento degli alberi verrà effettuata dai tecnici degli uffici competenti sul verde urbano, per l'Amministrazione Comunale, e da parte dei tecnici abilitati per i soggetti privati. Gli alberi abbattuti ai sensi del presente comma andranno sostituiti con un numero di alberi pari o superiore agli alberi abbattuti. Resta inteso che il taglio dell'albero andrà effettuato nel periodo del riposo vegetativo (tra ottobre e marzo).","Se vuoi abbattere alberi vivi, malati o morti, devi chiedere un'autorizzazione, a meno che l'intervento non sia fatto direttamente dal Comune. Devi allegare i documenti indicati nell'Allegato A per spiegare l'operazione e le sue motivazioni.

L'Ufficio competente risponde alla richiesta di abbattimento entro 20 giorni. Se non risponde, l'abbattimento è considerato autorizzato.

L'autorizzazione per il taglio degli alberi stabilisce:
- come e quando abbattere gli alberi, cercando di evitare il periodo di riproduzione degli uccelli (marzo-agosto), a meno che non ci sia un pericolo immediato;
- come e quando piantare nuovi alberi, specificando quali piante usare e come preparare il terreno.

Se l'abbattimento riguarda alberi su suolo pubblico, devi pagare al Comune una somma pari al valore ornamentale dell'albero, calcolato come indicato nell'Allegato A.

Queste regole valgono anche per abbattimenti necessari per piani urbanistici o opere pubbliche.

Non si applicano invece agli abbattimenti ordinati da sentenze giudiziarie, a quelli previsti dal Codice della Strada, o a interventi programmati dal Comune per motivi di sicurezza pubblica o per migliorare l'ambiente.

Il Comune o il proprietario del terreno possono abbattere alberi vivi che danneggiano strade o edifici, previa autorizzazione dell'ufficio comunale competente. L'ufficio deve valutare l'intero apparato radicale dell'albero, non solo la parte superficiale. I tecnici del Comune o tecnici privati abilitati faranno questa valutazione. Gli alberi abbattuti devono essere sostituiti con un numero uguale o maggiore di nuovi alberi. Il taglio deve avvenire tra ottobre e marzo, quando gli alberi sono in riposo vegetativo."
basilicata,Regolamento del Verde urbano pubblico e privato,4,Art. 4 POTATURE,"La potatura delle alberature, salvo il caso di interventi effettuati direttamente dal personale dell'Amministrazione comunale per eliminazione dei rami secchi, lesionati o ammalorati e per prevenire rotture da carichi di neve, è soggetta a specifica richiesta di autorizzazione corredata della documentazione di cui all'Allegato A.

L'Ufficio competente autorizza interventi di potatura solo se rientranti nelle seguenti tipologie o situazioni straordinarie:
- operazioni di difesa fitosanitaria;
- rimozione di branche per ostacolo alla circolazione o interferenza con elettrodotti;
- interventi a tutela dell'igiene e della pubblica incolumità.

Sono ammessi, di norma, tagli su branche fino a 10 cm. di diametro o cm. 30 di circonferenza, purché netti ed eseguiti a perfetta regola, rispettando il collare nella parte residua.

È escluso ogni intervento di capitozzatura tale da interrompere la naturale crescita del fusto.

Non sono soggetti alle limitazioni di cui ai punti precedenti gli alberi e i viali alberati già gravemente compromessi da drastiche operazioni di capitozzatura e diradamento intenso, purché inseriti in un piano organico di sostituzione poliennale da approvare a cura della Giunta comunale.","Se vuoi potare gli alberi, devi chiedere un'autorizzazione, a meno che non sia il personale del Comune a farlo per rimuovere rami secchi, danneggiati o pericolosi a causa della neve.

L'Ufficio competente concede l'autorizzazione solo per questi motivi:
- protezione delle piante da malattie;
- rimozione di rami che bloccano la strada o toccano i cavi elettrici;
- protezione dell'igiene e della sicurezza pubblica.

Di solito, puoi tagliare rami con un diametro fino a 10 cm o una circonferenza di 30 cm, ma devi farlo in modo preciso e corretto, rispettando il collare del ramo.

Non puoi fare tagli che fermano la crescita naturale del tronco.

Le limitazioni non si applicano agli alberi e ai viali già danneggiati da potature drastiche, se sono inclusi in un piano di sostituzione pluriennale approvato dalla Giunta comunale."
basilicata,Regolamento del Verde urbano pubblico e privato,5,Art. 5 DANNEGGIAMENTI,"Sono considerati danneggiamenti delle alberature, sanzionabili ai sensi del successivo articolo 22, tutte le operazioni di capi tozzatura apicale, di potatura non autorizzata o non eseguita a regola e ogni intervento che direttamente o indirettamente possa compromettere l'integrità e il naturale sviluppo delle piante.

I seguenti interventi sono vietati come particolarmente nocivi, qualora eseguiti nelle aree di pertinenza delle alberature di cui al successivo articolo 8:
- versamento di sostanze fitotossiche (acidi, olii, cloruro di sodio in caso di nevicate, etc.);
- combustione di sostanze di qualsiasi natura;
- impermeabilizzazione con pavimentazioni e opere edilizie;
- affissione di cartelli e simili, mediante chiodi, filo di ferro o materiale non estensibile;
- ricariche di terreno e altro materiale, tali da comportare l'interramento del colletto;
- asporto di terreno e scavi di qualsiasi natura;
- deposito stabile di materiali e utilizzo per ogni genere di attività produttive;
- impianti di illuminazione che producano calore tale da danneggiare l'alberatura;
- interramento di reti tecnologiche a distanze minori da quelle di cui al successivo articolo 9;
- rimozioni o incisioni sull'apparato corticale.

I soggetti pubblici o privati interessati a scavi che interferiscano con le alberature esistenti sono tenuti:
- a presentare all'Ufficio competente, prima dell'inizio dei lavori, il progetto delle opere da realizzare, con l'indicazione della vegetazione esistente;
- a segnalare tempestivamente all'Ufficio competente eventuali situazioni di rischio che possano causare danni alla porzione ipogea ed epigea degli alberi.

L'Ufficio competente può esprimere prescrizioni sulle istanze di cui al punto precedente, insieme al titolo abilitativo.","Sono considerati danni agli alberi, e quindi punibili secondo l'articolo 22, tutte le operazioni di taglio della cima, potature non autorizzate o fatte male, e qualsiasi intervento che possa danneggiare o impedire la crescita naturale delle piante.

Questi interventi sono vietati perché particolarmente dannosi, se fatti nelle aree degli alberi indicate nell'articolo 8:
- versare sostanze tossiche come acidi, oli o sale in caso di neve;
- bruciare qualsiasi tipo di materiale;
- coprire il terreno con pavimentazioni o costruzioni;
- attaccare cartelli usando chiodi, filo di ferro o materiali rigidi;
- aggiungere terra o altri materiali che coprano la base dell'albero;
- rimuovere terra o fare scavi di qualsiasi tipo;
- depositare materiali in modo permanente o usare l'area per attività produttive;
- installare luci che emettano calore dannoso per gli alberi;
- interrare reti tecnologiche troppo vicine, come specificato nell'articolo 9;
- rimuovere o incidere la corteccia degli alberi.

Chiunque, pubblico o privato, voglia fare scavi che possano interferire con gli alberi esistenti deve:
- presentare all'Ufficio competente, prima di iniziare i lavori, il progetto delle opere, indicando la vegetazione presente;
- informare subito l'Ufficio competente di eventuali rischi che possano danneggiare le radici o la parte visibile degli alberi.

L'Ufficio competente può dare indicazioni sui progetti presentati, insieme al permesso necessario."
basilicata,Regolamento del Verde urbano pubblico e privato,6,Art. 6 NUOVI IMPIANTI E SOSTITUZIONI,"Per la sostituzione e l'impianto di nuovi alberi è prescritto l'uso di materiale vivaistico certificato ed esente da virus, di circonferenza non inferiore, di norma, alle seguenti misure:
- circonferenza minima cm. 20 per piante di 1a grandezza
- circonferenza minima cm. 15 per piante di 2a grandezza
- circonferenza minima cm. 10 per piante di 3a grandezza

La scelta di nuove essenze arbustive deve essere orientata verso elementi vegetali di altezza non inferiore a cm. 60 poste in vaso o in contenitore.

L'elencazione delle principali specie e delle essenze suggerite in ambito comunale, con le rispettive caratteristiche d'impiego, le distanze d'impianto da rispettare e le dimensioni a maturità, è riportata nell'Allegato C.

L'utilizzo in zona urbana di essenze diverse da quelle suggerite nell'Allegato C è subordinato ad una puntuale relazione redatta da tecnico abilitato circa le motivazioni di natura tecnica, ambientale o paesaggistica che giustificano la scelta.

Gli strumenti urbanistici attuativi contengono precise previsioni in ordine alle specie arboree, alle essenze da utilizzare e alla loro localizzazione e quantificazione; l'adozione di tali strumenti necessita del parere in materia di verde pubblico e privato da parte dell'Ufficio competente.","Per sostituire o piantare nuovi alberi, bisogna usare piante certificate e senza virus. Gli alberi devono avere una circonferenza minima, che di solito è:

- almeno 20 cm per alberi di prima grandezza
- almeno 15 cm per alberi di seconda grandezza
- almeno 10 cm per alberi di terza grandezza

Quando si scelgono nuovi arbusti, bisogna preferire quelli alti almeno 60 cm e che siano in vaso o contenitore.

Nell'Allegato C trovi l'elenco delle principali specie e arbusti consigliati per il comune, con le loro caratteristiche, le distanze da rispettare quando li pianti e le dimensioni che raggiungono quando crescono.

Se vuoi usare piante diverse da quelle consigliate nell'Allegato C in aree urbane, devi presentare una relazione dettagliata scritta da un tecnico qualificato. Questa relazione deve spiegare le ragioni tecniche, ambientali o paesaggistiche della scelta.

I piani urbanistici devono specificare quali specie di alberi e arbusti usare, dove piantarli e in che quantità. Per adottare questi piani, serve il parere dell'Ufficio competente in materia di verde pubblico e privato."
basilicata,Regolamento del Verde urbano pubblico e privato,7,Art. 7 PROGETTI DI SISTEMAZIONE DEL VERDE,"Le seguenti richieste di interventi edilizi o urbanistici e, in generale, tutte le istanze che comportino innovazioni e modifiche delle aree esterne di pertinenza delle costruzioni, sono corredate da un progetto di sistemazione del verde, redatto da tecnico abilitato in conformità al Regolamento e in base alla modulistica di cui Allegato A:
- costruzioni o ristrutturazioni di edifici pubblici o privati;
- progettazione di zone e comparti soggetti a strumento urbanistico attuativo;
- trasformazioni e modificazioni di giardini o parchi pubblici;
- urbanizzazioni primarie o secondarie, compresi i progetti di strade e parcheggi;
- sistemazione aree esterne a edifici esistenti o di progetto.

Il progetto di sistemazione del verde comprende i seguenti elaborati:
- studio dello stato di fatto, con inquadramento paesaggistico, fotografie, planimetrie, etc.;
- relazione sul progetto (materiali prescelti, aspetti tecnico-agronomici e ambientali, etc.);
- elaborati di progetto riportanti la disposizione delle alberature, il relativo ingombro a maturità, i percorsi, l'impianto di illuminazione, il sistema d'irrigazione e drenaggio, le utenze aeree e sotterranee insistenti nell'area di
intervento, etc.

Nel caso di piani urbanistici e interventi su aree pubbliche, il progetto del verde urbano è integrato dai seguenti elaborati:
- disciplinare descrittivo degli elementi prestazionali, tecnici ed economici;
- piano di tutela delle alberature esistenti e piano quinquennale di manutenzione del verde.

Le disposizioni sulla documentazione da produrre ai sensi dei precedenti punti 2 e 3 sono coordinate a quelle del Regolamento Edilizio del comune e della Guida Pratica ad esso allegato.","Se vuoi fare lavori edilizi o urbanistici che cambiano le aree esterne di un edificio, devi presentare un progetto di sistemazione del verde. Questo progetto deve essere fatto da un tecnico qualificato e seguire il Regolamento e i moduli dell'Allegato A. Ecco i casi in cui serve il progetto:

- Costruzione o ristrutturazione di edifici pubblici o privati.
- Progettazione di aree soggette a piani urbanistici.
- Modifiche a giardini o parchi pubblici.
- Creazione di infrastrutture come strade e parcheggi.
- Sistemazione delle aree esterne di edifici esistenti o nuovi.

Il progetto di sistemazione del verde deve includere:

- Uno studio della situazione attuale con foto, mappe e descrizione del paesaggio.
- Una relazione sul progetto che spiega i materiali scelti e gli aspetti tecnici e ambientali.
- Disegni che mostrano dove saranno piantati gli alberi, i percorsi, l'illuminazione, l'irrigazione, il drenaggio e le utenze presenti nell'area.

Per i piani urbanistici e lavori su aree pubbliche, il progetto deve anche includere:

- Una descrizione dettagliata degli aspetti tecnici ed economici.
- Un piano per proteggere gli alberi esistenti e un piano di manutenzione del verde per cinque anni.

Le regole per la documentazione da presentare sono coordinate con il Regolamento Edilizio del comune e la Guida Pratica allegata."
basilicata,Regolamento del Verde urbano pubblico e privato,8,Art. 8 AREE DI PERTINENZA DELLE ALBERATURE,"L'area di pertinenza delle alberature è considerata l'area definita dalla circonferenza tracciata sul terreno avente come centro il fusto dell'albero; il suo raggio è in funzione dello sviluppo della chioma e delle radici, secondo il seguente schema:
- raggio mt. 6,00 per piante di 1a grandezza
- raggio mt. 4,00 per piante di 2a grandezza
- raggio mt. 2,00 per piante di 3a grandezza

In caso alberature poste a confine tra diverse proprietà, l'area di pertinenza si intende comunque limitata dal confine della proprietà su cui sorge il fusto.","L'area intorno a un albero è quella delimitata da un cerchio tracciato sul terreno, con il tronco dell'albero al centro. Il raggio di questo cerchio dipende dalla grandezza della chioma e delle radici dell'albero, seguendo queste misure:
- 6 metri di raggio per alberi di grandezza 1
- 4 metri di raggio per alberi di grandezza 2
- 2 metri di raggio per alberi di grandezza 3

Se l'albero si trova al confine tra due proprietà, l'area intorno all'albero è limitata al confine della proprietà dove si trova il tronco."
basilicata,Regolamento del Verde urbano pubblico e privato,9,Art. 9 DISTANZE DA OSSERVARE,"Le distanze dai confini o fabbricati da osservarsi per l'impianto di nuove alberature, salvo il caso di viali e alberature stradali di cui al successivo articolo 13, sono le seguenti:
- distanza minima mt. 6,00 per piante di 1a grandezza
- distanza minima mt. 4,00 per piante di 2a grandezza
- distanza minima mt. 2,00 per piante di 3a grandezza

In ambito urbano i cavi aerei per le reti elettriche e di telecomunicazione, aventi altezza minima da terra di mt. 5,00 ai sensi dell'articolo 2.1.06 del Decreto Ministeriale 21 marzo 1988, devono garantire una distanza di rispetto dagli elementi arborei non inferiore a cm. 30.

Per la posa in opera e la manutenzione di reti tecnologiche sotterranee devono essere rispettate le distanze di seguito riportate, salvo il caso di effettiva mancanza di spazio, purché gli alberi compromessi dagli scavi siano inseriti in un piano di sostituzione poliennale;
- distanza minima mt. 4,00 per piante di 1a grandezza
- distanza minima mt. 3,00 per piante di 2a grandezza
- distanza minima mt. 2,00 per piante di 3a grandezza

La distanza dalle linee ferroviarie di alberi, arbusti e siepi, in conformità agli articoli 52 e 55 del DPR 11 luglio 1980 n° 753 e all'articolo 4 della Legge 12 novembre 1968 n° 1202, non può essere inferiore alle seguenti misure:
- altezza a maturità + mt. 2,00 per alberature > mt. 4,00
- distanza pari a mt. 6,00 per alberi/arbusti < mt. 4,00
- distanza pari a mt. 6,00 in caso di siepi > mt. 1,50
- distanza pari a mt. 5,00 in caso di siepi < mt. 1,50

Nel caso in cui il tracciato della ferrovia si trovi in trincea o rilevato, le misure di cui al punto precedente sono aumentate in maniera da garantire una distanza minima di mt. 2,00 dal ciglio dello sterro o dal piede del rilevato.

Per le altre zone di rispetto non indicate dal presente articolo si applicano, ai fini delle distanze da osservare, le disposizioni legislative e regolamentari vigenti.","Quando pianti nuovi alberi, devi rispettare le seguenti distanze dai confini o dagli edifici, a meno che non si tratti di viali o alberature stradali (vedi articolo 13):

- Per alberi di grandezza 1: almeno 6 metri
- Per alberi di grandezza 2: almeno 4 metri
- Per alberi di grandezza 3: almeno 2 metri

In città, i cavi aerei per l'elettricità e le telecomunicazioni devono essere ad almeno 5 metri da terra (come stabilito dall'articolo 2.1.06 del Decreto Ministeriale del 21 marzo 1988) e devono mantenere una distanza di almeno 30 centimetri dagli alberi.

Quando installi o mantieni reti sotterranee, devi rispettare queste distanze, a meno che non ci sia davvero poco spazio. In tal caso, gli alberi danneggiati dagli scavi devono essere inclusi in un piano di sostituzione a lungo termine:

- Per alberi di grandezza 1: almeno 4 metri
- Per alberi di grandezza 2: almeno 3 metri
- Per alberi di grandezza 3: almeno 2 metri

Gli alberi, arbusti e siepi devono mantenere le seguenti distanze dalle linee ferroviarie, secondo gli articoli 52 e 55 del DPR 11 luglio 1980 n° 753 e l'articolo 4 della Legge 12 novembre 1968 n° 1202:

- Per alberi che superano i 4 metri di altezza: altezza a maturità più 2 metri
- Per alberi/arbusti sotto i 4 metri: almeno 6 metri
- Per siepi sopra 1,5 metri: almeno 6 metri
- Per siepi sotto 1,5 metri: almeno 5 metri

Se la ferrovia è in trincea o su un rilevato, le distanze sopra indicate devono essere aumentate per garantire almeno 2 metri dal bordo dello scavo o dalla base del rilevato.

Per altre aree non specificate in questo articolo, si applicano le leggi e i regolamenti vigenti sulle distanze da rispettare."
basilicata,Regolamento del Verde urbano pubblico e privato,10,Art. 10 NORME DI NATURA EDILIZIA,"Nella progettazione e nella fase costruttiva di muri di sostegno in cemento armato di altezza superiore a mt. 1,50 da realizzare a cura dell'Amministrazione comunale e di altri soggetti pubblici o privati è fatto obbligo di predisporre accorgimenti e soluzioni tecniche che consentano la ricopertura totale o parziale mediante l'impianto e lo sviluppo di essenze rampicanti o ricadenti, ovvero mediante siepi arbustive.

Negli interventi di ristrutturazione edilizia con modificazioni dell'area esterna ai fabbricati è necessario recuperare la superficie a verde, in toto o in parte, utilizzando l'area scoperta disponibile; qualora le condizioni dello stato dei luoghi non lo consentano, la superficie a verde è integrata attraverso la previsione di giardini pensili e/o di verde verticale mediante l'uso di piante rampicanti o ricadenti.

Le aree di pertinenza della alberature, di cui al precedente articolo 8, possono essere interessate dalla posa di pavimentazioni superficiali permeabili, purché sia garantito il mantenimento di una sufficiente superficie a terreno nudo circostante il fusto, pacciamata, inerbita o impiantata con specie vegetali tappezzanti, non inferiore alle misure seguenti:
- superficie di m2 10,00 per piante di 1a grandezza
- superficie di m2 6,00 per piante di 2a grandezza
- superficie di m2 4,00 per piante di 3a grandezza

In caso di demolizione e ricostruzione di edifici, strutture edilizie e zone pavimentate che, in toto o in parte, interferiscano con le aree di pertinenza delle alberature, la nuova costruzione deve garantirne, per quanto possibile, il rispetto.

Gli interventi di posa in opera di pavimentazioni esterne non devono comportare sottofondazioni e scavi che alterino lo strato superficiale del terreno per una quota superiore a cm. 15 dall'originario piano di campagna.

Lungo le linee di confine tra lotti limitrofi e tra zone di diversa destinazione d'uso devono essere previste, ovunque possibile, schermature di verde naturale con eventuale rete metallica interposta.

Le norme del presente articolo sono applicabili purché non contrastino con altre disposizioni legislative e regolamentari vigenti.","Quando si progettano e costruiscono muri di sostegno in cemento armato alti più di 1,50 metri, l'Amministrazione comunale e altri enti pubblici o privati devono prevedere soluzioni per coprirli con piante rampicanti o siepi.

Durante la ristrutturazione di edifici, se si modifica l'area esterna, bisogna recuperare il verde usando lo spazio disponibile. Se non è possibile, si devono creare giardini pensili o usare piante rampicanti per il verde verticale.

Le aree intorno agli alberi possono avere pavimentazioni permeabili, ma bisogna lasciare abbastanza terreno nudo intorno al tronco. Le misure minime sono:
- 10 metri quadrati per alberi grandi
- 6 metri quadrati per alberi medi
- 4 metri quadrati per alberi piccoli

Se si demoliscono e ricostruiscono edifici o pavimentazioni che interferiscono con le aree degli alberi, le nuove costruzioni devono rispettare queste aree il più possibile.

Quando si posano pavimentazioni esterne, non si devono fare scavi più profondi di 15 cm rispetto al livello originale del terreno.

Lungo i confini tra lotti e tra zone con usi diversi, bisogna prevedere, se possibile, barriere di verde naturale con una rete metallica.

Queste regole si applicano solo se non contrastano con altre leggi o regolamenti esistenti."
