region,topic,progress,title,text,simplified_text
basilicata,Regolamento del Verde urbano pubblico e privato,1,Art. 1 - GENERALITÀ,"Il presente Regolamento del Verde Urbano Pubblico e Privato, di seguito chiamato semplicemente Regolamento, detta la disciplina degli interventi sulla vegetazione e sulle alberature ricadenti nel territorio comunale, al fine di garantirne la valorizzazione, la salvaguardia e la razionale gestione, nel rispetto delle condizioni di decoro, sicurezza, incolumità pubblica e accessibilità.

Le norme del Regolamento si applicano in particolare:
- a tutte le aree di proprietà pubblica da sistemare a verde, ovunque ubicate;
- alle alberature delle zone, sia pubbliche che private, interne al perimetro del centro abitato;
- alle alberature delle zone, sia pubbliche che private, ubicate entro mt. 30,00 dalla mezzeria delle strade pubbliche, ed entro mt. 30,00 da corsi d'acqua;
- alle alberature che rivestono prevalente funzione ornamentale, di pertinenza di costruzioni edilizie, ovunque ubicate.

Non sono oggetto del Regolamento, indipendentemente dall'ubicazione, gli alberi da frutto, gli alberi costituenti colture arboree specializzate per arboricoltura da legno, gli alberi facenti parte di formazioni forestali e, in generale, tutta la vegetazione ricadente nelle zone rurali coltivate.

L'Ufficio competente per le materie disciplinate dal Regolamento è l'Ufficio Verde Urbano Pubblico e Privato, istituito presso l'Unità di Direzione ""Centro Storico - Qualità Urbana"" del Comune.

Ai fini del Regolamento le alberature in ambito comunale sono classificate come segue, in funzione della loro altezza e dello sviluppo a maturità:
- piante di 1a grandezza con altezza > mt. 18,00
- piante di 2a grandezza con altezza tra mt. 12,00 e 18,00
- piante di 3a grandezza con altezza < mt. 12,00
- alberature ed arbusti con altezza < mt. 5,00

Possono sottoscrivere progetti e relazioni tecniche relativi a interventi disciplinati dal presente Regolamento, le figure professionali e i tecnici specificamente abilitati in materia botanica e ambientale.","**Regolamento del Verde Urbano Pubblico e Privato**

Questo Regolamento stabilisce le regole per gli interventi sulla vegetazione e sugli alberi nel territorio comunale. L'obiettivo è valorizzare, proteggere e gestire in modo razionale il verde, garantendo decoro, sicurezza, incolumità pubblica e accessibilità.

Le norme del Regolamento si applicano a:
- tutte le aree pubbliche da sistemare a verde, ovunque si trovino;
- gli alberi nelle zone pubbliche e private all'interno del centro abitato;
- gli alberi nelle zone pubbliche e private che si trovano entro 30 metri dalla mezzeria delle strade pubbliche e entro 30 metri dai corsi d'acqua;
- gli alberi che hanno una funzione ornamentale e che appartengono a edifici, ovunque si trovino.

Non rientrano nel Regolamento, a prescindere dalla loro posizione, gli alberi da frutto, gli alberi per coltivazioni specializzate per legno, gli alberi delle foreste e, in generale, la vegetazione nelle zone rurali coltivate.

L'Ufficio responsabile per le questioni trattate dal Regolamento è l'Ufficio Verde Urbano Pubblico e Privato, che fa parte dell'Unità di Direzione ""Centro Storico - Qualità Urbana"" del Comune.

Secondo il Regolamento, gli alberi nel comune sono classificati in base alla loro altezza e sviluppo:
- piante di 1a grandezza: altezza superiore a 18 metri
- piante di 2a grandezza: altezza tra 12 e 18 metri
- piante di 3a grandezza: altezza inferiore a 12 metri
- alberi e arbusti: altezza inferiore a 5 metri

Solo i professionisti e i tecnici abilitati in botanica e ambiente possono presentare progetti e relazioni tecniche per gli interventi previsti da questo Regolamento."
basilicata,Regolamento del Verde urbano pubblico e privato,2,Art. 2 SALVAGUARDIA DELLE ALBERATURE ESISTENTI,"Su tutto il territorio comunale sono oggetto di particolare salvaguardia:
- gli arbusti che per rarità di specie, morfologia o vetustà, risultino di particolare pregio;
- gli alberi (conifere e latifoglie) aventi circonferenza del fusto, misurata a cm. 130 di altezza dal colletto, superiore alle misure sotto indicate:
    - cm. 60 per piante di 1a grandezza
    - cm. 50 per piante di 2a grandezza
    - cm. 30 per piante di 3a grandezza
- le piante con più fusti, qualora almeno uno di essi raggiunga la circonferenza pari a cm. 20.
- gli alberi ricadenti nei Parchi urbani e nei Giardini storici e gli alberi monumentali di cui al successivo articolo 14.

Le operazioni di sostituzione di alberi esistenti e di impianto di nuove alberature sono assoggettate alle prescrizioni dettate dall'articolo 6 del Regolamento.","Nel nostro comune, proteggiamo in modo speciale:

- gli arbusti rari, antichi o di particolare bellezza;
- gli alberi (sia conifere che latifoglie) con una circonferenza del tronco, misurata a 130 cm di altezza dal terreno, superiore a:
    - 60 cm per gli alberi di 1a grandezza;
    - 50 cm per gli alberi di 2a grandezza;
    - 30 cm per gli alberi di 3a grandezza;
- le piante che hanno più tronchi, se almeno uno di essi ha una circonferenza di almeno 20 cm;
- gli alberi nei Parchi urbani, nei Giardini storici e gli alberi monumentali, come descritto nell'articolo 14.

Se si devono sostituire alberi esistenti o piantare nuovi alberi, bisogna seguire le regole dell'articolo 6 del Regolamento."
basilicata,Regolamento del Verde urbano pubblico e privato,3,Art. 3 ABBATTIMENTI,"L'abbattimento di alberi vivi, deperienti o morti, salvo il caso di interventi effettuati direttamente dall'Amministrazione comunale, è soggetto a richiesta di autorizzazione corredata della documentazione di cui all'Allegato A, necessaria a individuare l'operazione e descriverne le motivazioni.

Sull'istanza di abbattimento, regolarmente presentata e documentata, l'Ufficio competente si esprime entro 20 giorni, decorsi i quali l'intervento si intende autorizzato.

L'autorizzazione al taglio di alberi fissa condizioni circa:
- modalità e tempi di abbattimento, con l'obbligo di rispettare, per quanto possibile e salvo casi di pericolo imminente, il periodo di riproduzione dell'avifauna (marzo-agosto);
- modalità e tempi per interventi di sostituzione e impianto di nuove alberature (essenze da utilizzare, nuovo terreno di coltivo, estirpazione delle ceppaie, etc.)

Qualora l'abbattimento riguardi alberi su suolo pubblico, gli interessati sono tenuti a corrispondere all'Amministrazione comunale una somma pari al valore ornamentale (V.O.) della pianta, calcolata secondo la metodologia di cui all'Allegato A.

Sono assoggettati alla disciplina del presente articolo anche gli abbattimenti necessari per l'attuazione degli strumenti urbanistici e per la realizzazione di opere pubbliche.

Sono esclusi dalle norme del presente articolo gli abbattimenti ordinati da sentenze giudiziarie, quelli da eseguire in attuazione del Codice della Strada e ogni intervento programmato dall'Amministrazione comunale per ragioni di incolumità pubblica, per evitare scosciature da carichi da neve e per la riqualificazione delle condizioni ambientali e vegetazionali attraverso sfolli o diradamenti.

L'Amministrazione Comunale e/o il proprietario dell'area, previo rilascio del nulla osta da parte dell'ufficio comunale competente sul Verde Urbano, potranno procedere all'abbattimento di alberi vivi e/o in buono stato vegetativo che presentino un apparato radicale (ipogeo) che provochi il danneggiamento della sede stradale, con pregiudizio per la sicurezza stradale, con pregiudizio per la sicurezza della circolazione di veicoli e pedoni, o che procuri danni alle pertinenze di proprietà dell'Ente o di privati o che comprometta la stabilità o la funzionalità di edifici pubblici o privati situati nell'immediata vicinanza dell'albero. La valutazione sull'abbattimento da parte dell'ufficio competente sul Vede Urbano non potrà essere limitata al solo rialzo della zona del colletto dell'albero ma dovrà verificare il danno prodotto dall'intero apparato radicale. La valutazione sulla necessità di procedere all'abbattimento degli alberi verrà effettuata dai tecnici degli uffici competenti sul verde urbano, per l'Amministrazione Comunale, e da parte dei tecnici abilitati per i soggetti privati. Gli alberi abbattuti ai sensi del presente comma andranno sostituiti con un numero di alberi pari o superiore agli alberi abbattuti. Resta inteso che il taglio dell'albero andrà effettuato nel periodo del riposo vegetativo (tra ottobre e marzo).","**Regole per l'abbattimento degli alberi**

1. **Richiesta di autorizzazione**: Per abbattere alberi vivi, malati o morti, è necessario fare una richiesta di autorizzazione. Questa richiesta deve includere la documentazione indicata nell'Allegato A, che serve a spiegare l'operazione e le motivazioni.

2. **Tempi di risposta**: L'Ufficio competente risponde alla richiesta di abbattimento entro 20 giorni. Se non risponde, l'abbattimento è considerato autorizzato.

3. **Condizioni per l'autorizzazione**: L'autorizzazione al taglio di alberi stabilisce:
   - Come e quando effettuare l'abbattimento, rispettando il periodo di riproduzione degli uccelli (da marzo ad agosto), salvo casi di pericolo imminente.
   - Come e quando sostituire gli alberi abbattuti, specificando le essenze da piantare, il nuovo terreno e la rimozione delle ceppaie.

4. **Costi per alberi su suolo pubblico**: Se si abbattono alberi su suolo pubblico, è necessario pagare all'Amministrazione comunale una somma pari al valore ornamentale dell'albero, calcolato secondo l'Allegato A.

5. **Eccezioni**: Le norme non si applicano agli abbattimenti ordinati da sentenze giudiziarie, a quelli previsti dal Codice della Strada e agli interventi programmati dall'Amministrazione comunale per motivi di sicurezza pubblica, per prevenire danni da neve o per migliorare l'ambiente.

6. **Abbattimento per danni**: L'Amministrazione Comunale o il proprietario dell'area possono abbattere alberi vivi che danneggiano la strada o mettono a rischio la sicurezza di veicoli e pedoni. Prima di procedere, devono ottenere il nulla osta dall'ufficio comunale competente sul Verde Urbano. La valutazione del danno deve considerare l'intero apparato radicale dell'albero.

7. **Sostituzione degli alberi**: Gli alberi abbattuti devono essere sostituiti con un numero uguale o superiore di nuovi alberi. Il taglio deve avvenire durante il periodo di riposo vegetativo, tra ottobre e marzo."
basilicata,Regolamento del Verde urbano pubblico e privato,4,Art. 4 POTATURE,"La potatura delle alberature, salvo il caso di interventi effettuati direttamente dal personale dell'Amministrazione comunale per eliminazione dei rami secchi, lesionati o ammalorati e per prevenire rotture da carichi di neve, è soggetta a specifica richiesta di autorizzazione corredata della documentazione di cui all'Allegato A.

L'Ufficio competente autorizza interventi di potatura solo se rientranti nelle seguenti tipologie o situazioni straordinarie:
- operazioni di difesa fitosanitaria;
- rimozione di branche per ostacolo alla circolazione o interferenza con elettrodotti;
- interventi a tutela dell'igiene e della pubblica incolumità.

Sono ammessi, di norma, tagli su branche fino a 10 cm. di diametro o cm. 30 di circonferenza, purché netti ed eseguiti a perfetta regola, rispettando il collare nella parte residua.

È escluso ogni intervento di capitozzatura tale da interrompere la naturale crescita del fusto.

Non sono soggetti alle limitazioni di cui ai punti precedenti gli alberi e i viali alberati già gravemente compromessi da drastiche operazioni di capitozzatura e diradamento intenso, purché inseriti in un piano organico di sostituzione poliennale da approvare a cura della Giunta comunale.","La potatura degli alberi deve essere autorizzata, tranne quando viene effettuata dal personale del Comune per rimuovere rami secchi, danneggiati o malati, o per prevenire rotture a causa della neve. Per richiedere l'autorizzazione, è necessario presentare la documentazione indicata nell'Allegato A.

L'Ufficio competente autorizza la potatura solo in alcune situazioni straordinarie, come:
- interventi per la difesa delle piante;
- rimozione di rami che ostacolano la circolazione o interferiscono con elettrodotti;
- interventi per garantire l'igiene e la sicurezza pubblica.

Di solito, si possono tagliare rami con un diametro fino a 10 cm o una circonferenza di 30 cm, a patto che il taglio sia netto e fatto correttamente, rispettando il collare del ramo.

Non è permesso effettuare capitozzature che interrompano la crescita naturale del tronco.

Gli alberi e i viali già danneggiati da capitozzature drastiche e diradamenti intensi non seguono queste regole, a condizione che siano inclusi in un piano di sostituzione approvato dalla Giunta comunale."
basilicata,Regolamento del Verde urbano pubblico e privato,5,Art. 5 DANNEGGIAMENTI,"Sono considerati danneggiamenti delle alberature, sanzionabili ai sensi del successivo articolo 22, tutte le operazioni di capi tozzatura apicale, di potatura non autorizzata o non eseguita a regola e ogni intervento che direttamente o indirettamente possa compromettere l'integrità e il naturale sviluppo delle piante.

I seguenti interventi sono vietati come particolarmente nocivi, qualora eseguiti nelle aree di pertinenza delle alberature di cui al successivo articolo 8:
- versamento di sostanze fitotossiche (acidi, olii, cloruro di sodio in caso di nevicate, etc.);
- combustione di sostanze di qualsiasi natura;
- impermeabilizzazione con pavimentazioni e opere edilizie;
- affissione di cartelli e simili, mediante chiodi, filo di ferro o materiale non estensibile;
- ricariche di terreno e altro materiale, tali da comportare l'interramento del colletto;
- asporto di terreno e scavi di qualsiasi natura;
- deposito stabile di materiali e utilizzo per ogni genere di attività produttive;
- impianti di illuminazione che producano calore tale da danneggiare l'alberatura;
- interramento di reti tecnologiche a distanze minori da quelle di cui al successivo articolo 9;
- rimozioni o incisioni sull'apparato corticale.

I soggetti pubblici o privati interessati a scavi che interferiscano con le alberature esistenti sono tenuti:
- a presentare all'Ufficio competente, prima dell'inizio dei lavori, il progetto delle opere da realizzare, con l'indicazione della vegetazione esistente;
- a segnalare tempestivamente all'Ufficio competente eventuali situazioni di rischio che possano causare danni alla porzione ipogea ed epigea degli alberi.

L'Ufficio competente può esprimere prescrizioni sulle istanze di cui al punto precedente, insieme al titolo abilitativo.","**Danneggiamenti delle alberature**

Le seguenti azioni danneggiano le alberature e possono essere sanzionate secondo l'articolo 22:

- Potatura non autorizzata o non eseguita correttamente.
- Capi tozzatura apicale.
- Qualsiasi intervento che possa compromettere l'integrità e lo sviluppo naturale delle piante.

**Interventi vietati**

Nelle aree intorno alle alberature, come indicato nell'articolo 8, sono vietati i seguenti interventi, poiché sono particolarmente dannosi:

- Versare sostanze tossiche (come acidi, oli o cloruro di sodio durante le nevicate).
- Bruciare sostanze di qualsiasi tipo.
- Impermeabilizzare con pavimentazioni o opere edilizie.
- Affiggere cartelli con chiodi, filo di ferro o materiali non estensibili.
- Aggiungere terreno o materiali che interrano il colletto delle piante.
- Rimuovere terreno o effettuare scavi di qualsiasi tipo.
- Deposito permanente di materiali o utilizzo per attività produttive.
- Installare impianti di illuminazione che producono calore dannoso per le alberature.
- Interrare reti tecnologiche a distanze inferiori a quelle indicate nell'articolo 9.
- Rimuovere o incidere la corteccia degli alberi.

**Obblighi per scavi**

Chiunque voglia effettuare scavi che possano interferire con le alberature deve:

- Presentare all'Ufficio competente, prima di iniziare i lavori, il progetto delle opere, indicando la vegetazione esistente.
- Segnalare immediatamente all'Ufficio competente eventuali situazioni di rischio che possano danneggiare le radici o la parte aerea degli alberi.

L'Ufficio competente può fornire indicazioni sulle richieste di cui sopra, insieme al permesso necessario per i lavori."
basilicata,Regolamento del Verde urbano pubblico e privato,6,Art. 6 NUOVI IMPIANTI E SOSTITUZIONI,"Per la sostituzione e l'impianto di nuovi alberi è prescritto l'uso di materiale vivaistico certificato ed esente da virus, di circonferenza non inferiore, di norma, alle seguenti misure:
- circonferenza minima cm. 20 per piante di 1a grandezza
- circonferenza minima cm. 15 per piante di 2a grandezza
- circonferenza minima cm. 10 per piante di 3a grandezza

La scelta di nuove essenze arbustive deve essere orientata verso elementi vegetali di altezza non inferiore a cm. 60 poste in vaso o in contenitore.

L'elencazione delle principali specie e delle essenze suggerite in ambito comunale, con le rispettive caratteristiche d'impiego, le distanze d'impianto da rispettare e le dimensioni a maturità, è riportata nell'Allegato C.

L'utilizzo in zona urbana di essenze diverse da quelle suggerite nell'Allegato C è subordinato ad una puntuale relazione redatta da tecnico abilitato circa le motivazioni di natura tecnica, ambientale o paesaggistica che giustificano la scelta.

Gli strumenti urbanistici attuativi contengono precise previsioni in ordine alle specie arboree, alle essenze da utilizzare e alla loro localizzazione e quantificazione; l'adozione di tali strumenti necessita del parere in materia di verde pubblico e privato da parte dell'Ufficio competente.","Per sostituire o piantare nuovi alberi, è obbligatorio usare piante certificate e senza virus. Le piante devono avere una circonferenza minima, che di solito è:

- 20 cm per le piante di 1a grandezza
- 15 cm per le piante di 2a grandezza
- 10 cm per le piante di 3a grandezza

Per le nuove piante arbustive, si devono scegliere elementi vegetali alti almeno 60 cm, messi in vaso o in contenitore.

L'Allegato C elenca le principali specie e le essenze consigliate dal comune, con le loro caratteristiche, le distanze da rispettare per la piantumazione e le dimensioni da adulte.

Se si vogliono usare essenze diverse da quelle indicate nell'Allegato C, è necessario presentare una relazione dettagliata redatta da un tecnico abilitato. Questa relazione deve spiegare le ragioni tecniche, ambientali o paesaggistiche della scelta.

Gli strumenti urbanistici attuativi specificano quali specie arboree e essenze utilizzare, dove piantarle e in quale quantità. Prima di adottare questi strumenti, è necessario ottenere il parere dell'Ufficio competente in materia di verde pubblico e privato."
basilicata,Regolamento del Verde urbano pubblico e privato,7,Art. 7 PROGETTI DI SISTEMAZIONE DEL VERDE,"Le seguenti richieste di interventi edilizi o urbanistici e, in generale, tutte le istanze che comportino innovazioni e modifiche delle aree esterne di pertinenza delle costruzioni, sono corredate da un progetto di sistemazione del verde, redatto da tecnico abilitato in conformità al Regolamento e in base alla modulistica di cui Allegato A:
- costruzioni o ristrutturazioni di edifici pubblici o privati;
- progettazione di zone e comparti soggetti a strumento urbanistico attuativo;
- trasformazioni e modificazioni di giardini o parchi pubblici;
- urbanizzazioni primarie o secondarie, compresi i progetti di strade e parcheggi;
- sistemazione aree esterne a edifici esistenti o di progetto.

Il progetto di sistemazione del verde comprende i seguenti elaborati:
- studio dello stato di fatto, con inquadramento paesaggistico, fotografie, planimetrie, etc.;
- relazione sul progetto (materiali prescelti, aspetti tecnico-agronomici e ambientali, etc.);
- elaborati di progetto riportanti la disposizione delle alberature, il relativo ingombro a maturità, i percorsi, l'impianto di illuminazione, il sistema d'irrigazione e drenaggio, le utenze aeree e sotterranee insistenti nell'area di
intervento, etc.

Nel caso di piani urbanistici e interventi su aree pubbliche, il progetto del verde urbano è integrato dai seguenti elaborati:
- disciplinare descrittivo degli elementi prestazionali, tecnici ed economici;
- piano di tutela delle alberature esistenti e piano quinquennale di manutenzione del verde.

Le disposizioni sulla documentazione da produrre ai sensi dei precedenti punti 2 e 3 sono coordinate a quelle del Regolamento Edilizio del comune e della Guida Pratica ad esso allegato.","Se vuoi fare lavori di costruzione o modifiche nelle aree esterne degli edifici, devi presentare un progetto di sistemazione del verde. Questo progetto deve essere redatto da un tecnico abilitato e deve seguire le regole del Regolamento e il modulo presente nell'Allegato A. Le richieste che richiedono questo progetto includono:

- costruzione o ristrutturazione di edifici pubblici o privati;
- progettazione di aree soggette a strumenti urbanistici;
- modifiche a giardini o parchi pubblici;
- realizzazione di strade e parcheggi;
- sistemazione delle aree esterne a edifici esistenti o in progetto.

Il progetto di sistemazione del verde deve contenere:

- uno studio dello stato attuale, con informazioni paesaggistiche, fotografie e planimetrie;
- una relazione sul progetto che descriva i materiali scelti e gli aspetti tecnici, agronomici e ambientali;
- elaborati di progetto che mostrino la disposizione degli alberi, il loro ingombro a maturità, i percorsi, l'impianto di illuminazione, il sistema di irrigazione e drenaggio, e le utenze aeree e sotterranee presenti nell'area.

Se il progetto riguarda piani urbanistici o aree pubbliche, deve includere anche:

- un documento che descriva le caratteristiche tecniche, prestazionali ed economiche;
- un piano per la tutela degli alberi esistenti e un piano di manutenzione del verde per i prossimi cinque anni.

Le regole sulla documentazione da presentare devono seguire quelle del Regolamento Edilizio del comune e della Guida Pratica allegata."
basilicata,Regolamento del Verde urbano pubblico e privato,8,Art. 8 AREE DI PERTINENZA DELLE ALBERATURE,"L'area di pertinenza delle alberature è considerata l'area definita dalla circonferenza tracciata sul terreno avente come centro il fusto dell'albero; il suo raggio è in funzione dello sviluppo della chioma e delle radici, secondo il seguente schema:
- raggio mt. 6,00 per piante di 1a grandezza
- raggio mt. 4,00 per piante di 2a grandezza
- raggio mt. 2,00 per piante di 3a grandezza

In caso alberature poste a confine tra diverse proprietà, l'area di pertinenza si intende comunque limitata dal confine della proprietà su cui sorge il fusto.","L'area di pertinenza degli alberi è l'area definita dalla circonferenza tracciata sul terreno attorno al tronco dell'albero. Il raggio di questa circonferenza dipende dalla grandezza dell'albero e delle sue radici, come segue:

- Raggio di 6 metri per alberi di 1a grandezza
- Raggio di 4 metri per alberi di 2a grandezza
- Raggio di 2 metri per alberi di 3a grandezza

Se un albero si trova al confine tra due proprietà, l'area di pertinenza è limitata dal confine della proprietà su cui si trova il tronco."
basilicata,Regolamento del Verde urbano pubblico e privato,9,Art. 9 DISTANZE DA OSSERVARE,"Le distanze dai confini o fabbricati da osservarsi per l'impianto di nuove alberature, salvo il caso di viali e alberature stradali di cui al successivo articolo 13, sono le seguenti:
- distanza minima mt. 6,00 per piante di 1a grandezza
- distanza minima mt. 4,00 per piante di 2a grandezza
- distanza minima mt. 2,00 per piante di 3a grandezza

In ambito urbano i cavi aerei per le reti elettriche e di telecomunicazione, aventi altezza minima da terra di mt. 5,00 ai sensi dell'articolo 2.1.06 del Decreto Ministeriale 21 marzo 1988, devono garantire una distanza di rispetto dagli elementi arborei non inferiore a cm. 30.

Per la posa in opera e la manutenzione di reti tecnologiche sotterranee devono essere rispettate le distanze di seguito riportate, salvo il caso di effettiva mancanza di spazio, purché gli alberi compromessi dagli scavi siano inseriti in un piano di sostituzione poliennale;
- distanza minima mt. 4,00 per piante di 1a grandezza
- distanza minima mt. 3,00 per piante di 2a grandezza
- distanza minima mt. 2,00 per piante di 3a grandezza

La distanza dalle linee ferroviarie di alberi, arbusti e siepi, in conformità agli articoli 52 e 55 del DPR 11 luglio 1980 n° 753 e all'articolo 4 della Legge 12 novembre 1968 n° 1202, non può essere inferiore alle seguenti misure:
- altezza a maturità + mt. 2,00 per alberature > mt. 4,00
- distanza pari a mt. 6,00 per alberi/arbusti < mt. 4,00
- distanza pari a mt. 6,00 in caso di siepi > mt. 1,50
- distanza pari a mt. 5,00 in caso di siepi < mt. 1,50

Nel caso in cui il tracciato della ferrovia si trovi in trincea o rilevato, le misure di cui al punto precedente sono aumentate in maniera da garantire una distanza minima di mt. 2,00 dal ciglio dello sterro o dal piede del rilevato.

Per le altre zone di rispetto non indicate dal presente articolo si applicano, ai fini delle distanze da osservare, le disposizioni legislative e regolamentari vigenti.","Ecco il documento riscritto in modo più semplice e comprensibile:

---

**Distanze da rispettare per nuove alberature**

Quando si piantano nuovi alberi, è importante rispettare le seguenti distanze dai confini o dai fabbricati, a meno che non si tratti di viali o alberature stradali (vedi articolo 13):

- **Piante di 1a grandezza**: distanza minima di 6 metri
- **Piante di 2a grandezza**: distanza minima di 4 metri
- **Piante di 3a grandezza**: distanza minima di 2 metri

**Cavi aerei in ambito urbano**

I cavi aerei per le reti elettriche e di telecomunicazione devono avere un'altezza minima di 5 metri dal suolo. Devono anche mantenere una distanza di almeno 30 centimetri dagli alberi.

**Reti tecnologiche sotterranee**

Per la posa e la manutenzione delle reti sotterranee, devono essere rispettate le seguenti distanze, a meno che non ci sia poco spazio. In questo caso, gli alberi danneggiati devono essere sostituiti secondo un piano pluriennale:

- **Piante di 1a grandezza**: distanza minima di 4 metri
- **Piante di 2a grandezza**: distanza minima di 3 metri
- **Piante di 3a grandezza**: distanza minima di 2 metri

**Distanze dalle linee ferroviarie**

Per alberi, arbusti e siepi vicino alle ferrovie, le distanze minime sono:

- **Alberi alti più di 4 metri**: altezza dell'albero + 2 metri
- **Alberi o arbusti alti meno di 4 metri**: distanza di 6 metri
- **Siepi alte più di 1,5 metri**: distanza di 6 metri
- **Siepi alte meno di 1,5 metri**: distanza di 5 metri

Se la ferrovia è in trincea o su un rilevato, le distanze devono essere aumentate per garantire almeno 2 metri dal bordo dello scavo o dalla base del rilevato.

**Altre zone di rispetto**

Per le zone non specificate in questo articolo, si devono seguire le leggi e i regolamenti attuali riguardanti le distanze.

--- 

Questo testo è stato semplificato per essere più chiaro e diretto, mantenendo il significato originale."
basilicata,Regolamento del Verde urbano pubblico e privato,10,Art. 10 NORME DI NATURA EDILIZIA,"Nella progettazione e nella fase costruttiva di muri di sostegno in cemento armato di altezza superiore a mt. 1,50 da realizzare a cura dell'Amministrazione comunale e di altri soggetti pubblici o privati è fatto obbligo di predisporre accorgimenti e soluzioni tecniche che consentano la ricopertura totale o parziale mediante l'impianto e lo sviluppo di essenze rampicanti o ricadenti, ovvero mediante siepi arbustive.

Negli interventi di ristrutturazione edilizia con modificazioni dell'area esterna ai fabbricati è necessario recuperare la superficie a verde, in toto o in parte, utilizzando l'area scoperta disponibile; qualora le condizioni dello stato dei luoghi non lo consentano, la superficie a verde è integrata attraverso la previsione di giardini pensili e/o di verde verticale mediante l'uso di piante rampicanti o ricadenti.

Le aree di pertinenza della alberature, di cui al precedente articolo 8, possono essere interessate dalla posa di pavimentazioni superficiali permeabili, purché sia garantito il mantenimento di una sufficiente superficie a terreno nudo circostante il fusto, pacciamata, inerbita o impiantata con specie vegetali tappezzanti, non inferiore alle misure seguenti:
- superficie di m2 10,00 per piante di 1a grandezza
- superficie di m2 6,00 per piante di 2a grandezza
- superficie di m2 4,00 per piante di 3a grandezza

In caso di demolizione e ricostruzione di edifici, strutture edilizie e zone pavimentate che, in toto o in parte, interferiscano con le aree di pertinenza delle alberature, la nuova costruzione deve garantirne, per quanto possibile, il rispetto.

Gli interventi di posa in opera di pavimentazioni esterne non devono comportare sottofondazioni e scavi che alterino lo strato superficiale del terreno per una quota superiore a cm. 15 dall'originario piano di campagna.

Lungo le linee di confine tra lotti limitrofi e tra zone di diversa destinazione d'uso devono essere previste, ovunque possibile, schermature di verde naturale con eventuale rete metallica interposta.

Le norme del presente articolo sono applicabili purché non contrastino con altre disposizioni legislative e regolamentari vigenti.","**Regole per la costruzione di muri di sostegno e aree verdi**

1. **Muri di sostegno**: Quando si progettano e costruiscono muri di sostegno in cemento armato alti più di 1,50 metri, l'Amministrazione comunale e altri enti pubblici o privati devono prevedere soluzioni tecniche per coprire il muro. Questo può avvenire con piante rampicanti, piante ricadenti o siepi arbustive.

2. **Ristrutturazione edilizia**: Durante i lavori di ristrutturazione che modificano l'area esterna degli edifici, è obbligatorio recuperare una parte o tutta la superficie a verde. Se non è possibile, si possono creare giardini pensili o utilizzare verde verticale con piante rampicanti o ricadenti.

3. **Aree di pertinenza delle alberature**: Le aree intorno agli alberi possono avere pavimentazioni permeabili, ma deve rimanere una superficie a terreno nudo attorno al tronco. Questa superficie deve essere pacciamata, inerbita o piantata con piante tappezzanti e deve avere le seguenti dimensioni minime:
   - 10 m² per piante di prima grandezza
   - 6 m² per piante di seconda grandezza
   - 4 m² per piante di terza grandezza

4. **Demolizione e ricostruzione**: Se si demolisce e ricostruisce un edificio o una pavimentazione che interferisce con le aree degli alberi, la nuova costruzione deve rispettare, per quanto possibile, queste aree.

5. **Pavimentazioni esterne**: Quando si posano pavimentazioni esterne, non si devono fare scavi o sottofondazioni che alterino il terreno per più di 15 cm rispetto al piano originale.

6. **Schermature verdi**: Lungo i confini tra lotti e tra zone con usi diversi, si devono prevedere, quando possibile, schermature di verde naturale, eventualmente con rete metallica.

7. **Applicabilità delle norme**: Queste regole si applicano se non sono in contrasto con altre leggi e regolamenti già in vigore."
