region,topic,progress,title,text,simplified_text,n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,ttr,gulpease,flesch_vacca,lexical_density,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens,readit_base,readit_lexical,readit_syntactic,readit_global
molise,Regolamento Edilizio e Norme Techiche di Attuazione,1,Art. 7 - Opere soggette ad autorizzazione,"Le seguenti opere, permanenti, semipermanenti o in precario sia pubbliche che private sono soggette ad autorizzazione:
- lottizzazione di aree a scopo edificatorio;
- opere di urbanizzazione;
- nuove costruzioni;
- ampliamenti, sopraelevazioni, ricostruzioni anche parziali;
- modifiche e riattamenti dell'aspetto esterno dei fabbricati;
- modifiche nell'ubicazione di costruzioni trasferibili;
- demolizioni;
- costruzione, restauro, modifiche, demolizione e ricostruzione di muri di cinte, cancellate, recinzioni, prospicienti spazi di uso pubblico, chioschi permanenti e provvisori;
- scavi, rinterri, muri di sostegno e rilevati in genere, quando modificano in misura notevole lo stato dei luoghi, fognature, acquedotto;
- cappelle, edicole e monumenti funerari in genere;
- abbattimento di alberi in zone destinate dal P.R.G. a parchi e giardini privati ed in complessi alberati di valore ambientale;
- aperture e modifiche di accessi privati sulle fronti stradali e su aree pubbliche;
- costruzione o trasformazione di vetrine, collocamento di insegne, mostre, cartelli od affissi pubblicitari od indicatori, lumi, memorie, monumenti, costruzione di tettorie, pensiline, verande o tende all'esterno di edifici, anche provvisorie, in luoghi pubblici aperti o prospettanti luoghi pubblici;
- esecuzione di manutenzione straordinaria, qualora comporti installazioni di ponteggi o scale mobili o ponti volanti;
- installazione di condutture elettriche, telefoniche, di gas, fognature, ecc., sia da parte di privati che di società concessionaria, nei suoli pubblici e privati e negli esterni di edifici esistenti;
- rivestimenti, decorazioni, e tinteggiatura di edifici.

Quando le opere siano da eseguirsi per ordine dell'autorità giudiziaria, si dovrà fare esplicita menzione nella domanda di licenza, precisando gli estremi della sentenza e riportando integralmente la parte del dispositivo precisante le opere ordinate.

Nessuna modificazione o riduzione potrà apportarsi in corso di lavoro, alle opere autorizzate, prima di averne chiesta ed ottenuta licenza, equivalendo ciò ad esecuzione abusiva di opere edilizie ai sensi del succitato articolo 31 della Legge urbanistica.","Le seguenti opere, permanenti, semipermanenti o in precario, sia pubbliche che private, sono soggette ad autorizzazione:
- lottizzazione di aree a scopo edificatorio;
- opere di urbanizzazione;
- nuove costruzioni;
- ampliamenti, sopraelevazioni, ricostruzioni anche parziali;
- modifiche e riattamenti dell'aspetto esterno dei fabbricati;
- modifiche nell'ubicazione di costruzioni trasferibili;
- demolizioni;
- costruzione, restauro, modifiche, demolizione e ricostruzione di muri di cinta, cancellate, recinzioni, prospicienti spazi di uso pubblico, chioschi permanenti e provvisori;
- scavi, rinterri, muri di sostegno e rilevati in genere, quando modificano in misura notevole lo stato dei luoghi, fognature, acquedotto;
- cappelle, edicole e monumenti funerari in genere;
- abbattimento di alberi in zone destinate dal P.R.G. a parchi e giardini privati e in complessi alberati di valore ambientale;
- aperture e modifiche di accessi privati sulle fronti stradali e su aree pubbliche;
- costruzione o trasformazione di vetrine, collocamento di insegne, mostre, cartelli o affissi pubblicitari o indicatori, lumi, memorie, monumenti, costruzione di tettoie, pensiline, verande o tende all'esterno di edifici, anche provvisorie, in luoghi pubblici aperti o prospettanti luoghi pubblici;
- esecuzione di manutenzione straordinaria, se comporta installazioni di ponteggi o scale mobili o ponti volanti;
- installazione di condutture elettriche, telefoniche, di gas, fognature, ecc., sia da parte di privati che di società concessionarie, nei suoli pubblici e privati e negli esterni di edifici esistenti;
- rivestimenti, decorazioni e tinteggiatura di edifici.

Se le opere sono da eseguire per ordine dell'autorità giudiziaria, si dovrà fare esplicita menzione nella domanda di licenza, precisando gli estremi della sentenza e riportando integralmente la parte del dispositivo precisante le opere ordinate.

Nessuna modificazione o riduzione potrà apportarsi in corso di lavoro alle opere autorizzate, prima di averne chiesta ed ottenuta licenza, equivalendo ciò ad esecuzione abusiva di opere edilizie ai sensi del succitato articolo 31 della Legge urbanistica.",290,367,1786,1863,735,195,171,19,0,117,21,1,0,5,7,4,0,48,59,1,77,0,24,3,21,0,67.24137931034483,47.06896551724138,25.995462794918332,0.6586206896551724,218,176,41,56,99.56198930740356,24,7,10,4,6,0.384,0.99,0.9940000000000001,1.0
molise,Regolamento Edilizio e Norme Techiche di Attuazione,2,Art. 8 - Opere non soggette ad autorizzazione,"Non sono soggette alla autorizzazione:
- le opere pubbliche da eseguirsi direttamente da Amministrazioni Statali. Tali Amministrazioni comunque devono depositare presso il Sindaco prima dell'inizio di qualsiasi opera, la prova dell'accertamento di cui agli articoli 29 e 31 comma 2° della vigente legge urbanistica;
- (voce eliminata)
- le opere e le installazioni per la segnaletica stradale orizzontale e verticale, in applicazione del Codice della strada;
- le opere in ordinaria e straordinaria manutenzione che non comportino modificazioni dei fabbricati e comunque non interessino edifici tutelati ai sensi della legge 1 giugno1939, n. 1089;
- la costruzione di baracche da cantiere e le protezioni stagionali;
- gli impianti di servizi accessori dei fabbricati come illuminazione, energia industriale, gas, telefono, riscaldamento, ventilazione, ascensori, montacarichi ed opere inerenti, salvo l'osservanza delle disposizioni di Legge e di Regolamento speciali e solo nel caso che tali impianti non comportino la esecuzione di opere visibili all'esterno;
- le opere di assoluta urgenza e di necessità immediata ordinata dal Sindaco.

Del pari non è richiesta l'autorizzazione per la modificazione della situazione in atto del suolo, per eseguirvi strade, scavi, spianamenti, canali e, in genere, qualsiasi alterazione di sopra e sottosuolo che risponda ad esigenza di carattere agrario o minerario.

L'esenzione dell'autorizzazione non esonera l'interessato dall'obbligo della preventiva denuncia agli effetti dell'applicazione della imposta di consumo o da altra imposta sostitutiva di questa sui materiali od apparecchi impiegati.","Non sono soggette all'autorizzazione:
- le opere pubbliche da eseguirsi direttamente da Amministrazioni Statali. Tali Amministrazioni comunque devono depositare presso il Sindaco, prima dell'inizio di qualsiasi opera, la prova dell'accertamento di cui agli articoli 29 e 31, comma 2°, della vigente legge urbanistica;
- (voce eliminata)
- le opere e le installazioni per la segnaletica stradale orizzontale e verticale, in applicazione del Codice della strada;
- le opere di ordinaria e straordinaria manutenzione che non comportino modificazioni dei fabbricati e comunque non interessino edifici tutelati ai sensi della legge 1 giugno 1939, n. 1089;
- la costruzione di baracche da cantiere e le protezioni stagionali;
- gli impianti di servizi accessori dei fabbricati come illuminazione, energia industriale, gas, telefono, riscaldamento, ventilazione, ascensori, montacarichi ed opere inerenti, salvo l'osservanza delle disposizioni di Legge e di Regolamento speciali e solo se tali impianti non comportino l'esecuzione di opere visibili all'esterno;
- le opere di assoluta urgenza e di necessità immediata ordinate dal Sindaco.

Allo stesso modo, non è richiesta l'autorizzazione per la modificazione della situazione in atto del suolo, per eseguirvi strade, scavi, spianamenti, canali e, in genere, qualsiasi alterazione di sopra e sottosuolo che risponda a esigenze di carattere agrario o minerario.

L'esenzione dall'autorizzazione non esonera l'interessato dall'obbligo della preventiva denuncia agli effetti dell'applicazione dell'imposta di consumo o di altra imposta sostitutiva di questa sui materiali o apparecchi impiegati.",234,274,1369,1409,565,157,138,10,0,82,14,5,0,12,21,4,0,29,50,1,40,0,15,1,12,2,67.09401709401709,43.31623931623932,25.655555555555573,0.5854700854700855,172,136,35,33,99.59810376167297,32,9,10,7,6,0.8440000000000001,0.9690000000000001,1.0,1.0
molise,Regolamento Edilizio e Norme Techiche di Attuazione,3,Art. 26 - Occupazione temporanea e manomissione del suolo pubblico,"Nel caso di necessità di occupazione di suolo pubblico, deve essere fatta separata domanda al Sindaco con la indicazione planimetrica dell'area da includere nel recinto di cantiere, al fine di ottenere la concessione temporanea per la durata presunta dei lavori.

La concessione è rinnovabile di sei mesi in sei mesi ed è subordinata al pagamento della tassa di occupazione di spazi ed aree pubbliche ed al versamento cauzionale, per la rimessa in ripristino, sia di terrazzamento sia di pavimentazione o vegetazione, allo scadere della concessione oppure in caso di prolungata sospensione dei lavori.

Il predetto deposito cauzionale viene restituito per intero o in parte, a seconda che il ripristino sia stato eseguito a regola d'arte o meno, trascorsi 60 (sessanta) giorni dall'avvenuto ripristino del suolo manomesso.","Se c'è necessità di occupare suolo pubblico, deve essere fatta separata domanda al Sindaco con l'indicazione planimetrica dell'area da includere nel recinto di cantiere, per ottenere la concessione temporanea per la durata presunta dei lavori.

La concessione è rinnovabile di sei mesi in sei mesi ed è subordinata al pagamento della tassa di occupazione di spazi e aree pubbliche e al versamento cauzionale, per la rimessa in ripristino, sia di terrazzamento sia di pavimentazione o vegetazione, alla scadenza della concessione oppure in caso di prolungata sospensione dei lavori.

Il deposito cauzionale viene restituito per intero o in parte, a seconda che il ripristino sia stato eseguito a regola d'arte o meno, trascorsi 60 (sessanta) giorni dall'avvenuto ripristino del suolo manomesso.",125,137,660,672,282,89,75,3,0,40,16,4,0,1,7,1,0,12,33,0,12,0,9,2,8,8,71.2,43.4,17.69333333333335,0.552,96,77,18,19,99.7637927532196,35,8,5,7,2,0.973,0.29600000000000004,1.0,1.0
molise,Regolamento Edilizio e Norme Techiche di Attuazione,4,Art. 27 - Controllo sulla esecuzione dei lavori,"Ogni costruzione è soggetta al controllo dell'Autorità Comunale durante la esecuzione dei lavori.

La vigilanza sulla esecuzione delle opere viene esercitata da Funzionari od Agenti Comunali i quali dovranno avere libero accesso agli immobili.","Ogni costruzione è soggetta al controllo dell'Autorità Comunale durante l'esecuzione dei lavori.

La vigilanza sull'esecuzione delle opere viene esercitata da Funzionari o Agenti Comunali, che dovranno avere libero accesso agli immobili.",34,37,203,206,83,33,29,2,0,12,5,0,0,0,3,1,0,3,8,1,3,0,1,0,3,2,97.05882352941177,46.94117647058823,30.323529411764696,0.5882352941176471,23,20,4,1,99.86518025398254,9,4,5,3,4,0.537,1.0,0.904,0.925
molise,Regolamento Edilizio e Norme Techiche di Attuazione,5,Art. 28 - Visite di controllo - termini e modalità,"Durante l'esecuzione dei lavori i proprietari dovranno chiedere per iscritto l'effettuazione delle seguenti tre visite di funzionari o agenti municipali per constatare il regolare andamento e l'esatta corrispondenza delle opere in esecuzione col progetto approvato ed eventuali varianti preventivamente autorizzate:
- Visita alle fondazioni: La prima visita verrà effettuata non appena le opere di fondazione siano ultimate
- Visita al rustico: La seconda visita verrà effettuata non appena ultimata la costruzione delle strutture portanti ivi comprese le murature d'ambito, scale, coperture e tavolati divisori.
- Visita ai lavori ultimati: La terza visita verrà effettuata a lavori ultimati per constatare in via definitiva la corrispondenza delle opere ivi comprese tutte le rifiniture e materiali impiegati per i rivestimenti esterni, al progetto approvato e alle eventuali varianti preventivamente autorizzate.

Dell'obbligo della richiesta scritta delle visite di controllo di cui ai punti a, b, e c, verrà fatta menzione nelle prescrizioni contenute nella licenza di costruzione.

Qualora nel corso delle suddette visite si accertasse la difformità delle opere eseguite da quelle approvate, si procederà nei confronti dei trasgressori a termine di legge.

Per ogni visita sarà redatto apposito verbale in duplice copia di cui una deve rimanere in cantiere.

La mancata visita da parte dei servizi comunali non esime il titolare della licenza di costruzione il Direttore dei lavori o l'assuntore dei lavori dalle loro responsabilità circa l'inosservanza tanto delle norme generali di legge o di regolamento quanto delle modalità esecutive che siano fissate nella licenza di costruzione.","Durante l'esecuzione dei lavori, i proprietari dovranno chiedere per iscritto l'effettuazione delle seguenti tre visite di funzionari o agenti municipali per constatare il regolare andamento e l'esatta corrispondenza delle opere in esecuzione con il progetto approvato ed eventuali varianti preventivamente autorizzate:
- Visita alle fondazioni: la prima visita verrà effettuata non appena le opere di fondazione siano ultimate.
- Visita al rustico: la seconda visita verrà effettuata non appena ultimata la costruzione delle strutture portanti, comprese le murature d'ambito, scale, coperture e tavolati divisori.
- Visita ai lavori ultimati: la terza visita verrà effettuata a lavori ultimati per constatare in via definitiva la corrispondenza delle opere, comprese tutte le rifiniture e i materiali impiegati per i rivestimenti esterni, al progetto approvato e alle eventuali varianti preventivamente autorizzate.

Dell'obbligo della richiesta scritta delle visite di controllo di cui ai punti a, b, e c, verrà fatta menzione nelle prescrizioni contenute nella licenza di costruzione.

Se nel corso delle suddette visite si accertasse la difformità delle opere eseguite da quelle approvate, si procederà nei confronti dei trasgressori a termine di legge.

Per ogni visita sarà redatto apposito verbale in duplice copia, di cui una deve rimanere in cantiere.

La mancata visita da parte dei servizi comunali non esime il titolare della licenza di costruzione, il Direttore dei lavori o l'assuntore dei lavori dalle loro responsabilità circa l'inosservanza tanto delle norme generali di legge o di regolamento quanto delle modalità esecutive che siano fissate nella licenza di costruzione.",249,275,1416,1442,600,148,126,11,1,79,30,1,0,8,25,8,0,28,58,0,26,0,9,2,18,12,59.43775100401606,45.3855421686747,26.73713033953995,0.5823293172690763,188,152,34,26,99.79315996170044,16,2,4,2,1,0.982,0.377,1.0,1.0
molise,Regolamento Edilizio e Norme Techiche di Attuazione,6,Art. 29 - Cautele contro danni a manufatti per servizi pubblici,"Qualora per l'esecuzione di opere occorra manomettere il suolo e sottosuolo pubblico o costruire recinzioni e ponteggi, il costruttore dovrà:
- Ottenere l'autorizzazione dell'Amministrazione Comunale;
- Adottare le cautele necessarie per evitare danni ai relativi manufatti e condutture;
- Dare avviso agli Uffici od Impresa che eserciscono servizi pubblici.","Se per l'esecuzione di opere occorre manomettere il suolo e sottosuolo pubblico o costruire recinzioni e ponteggi, il costruttore dovrà:
- ottenere l'autorizzazione dell'Amministrazione Comunale;
- adottare le cautele necessarie per evitare danni ai relativi manufatti e condutture;
- dare avviso agli Uffici o all'Impresa che eserciscono servizi pubblici.",50,58,300,308,126,44,39,4,0,17,9,0,0,0,5,1,0,5,7,0,8,0,5,1,9,0,88.0,53.0,29.69999999999999,0.62,35,30,4,7,99.49714541435242,12,6,6,5,3,0.128,1.0,0.34600000000000003,0.11
molise,Regolamento Edilizio e Norme Techiche di Attuazione,7,Art. 30 - Interruzione dei lavori ed obblighi relativi,"In caso di interruzione delle opere il proprietario dovrà fare eseguire i lavori necessari a mantenere la solidità della parte costruita ed a togliere eventuali deturpazioni.

In caso di inadempienza il Sindaco potrà provvedere d'Ufficio, ai sensi dell'art. 153 del T.U. Legge Comunale e Provinciale, con spese a carico degli interessati.

Trascorso un mese dalla interruzione delle opere e salvo il caso che questa dipenda da provate cause di forza maggiore, sarà facoltà del Sindaco di far cessare l'occupazione di suolo pubblico eventualmente autorizzata.","Se le opere vengono interrotte, il proprietario dovrà fare eseguire i lavori necessari a mantenere la solidità della parte costruita e a togliere eventuali deturpazioni.

Se non adempie, il Sindaco potrà provvedere d'ufficio, ai sensi dell'art. 153 del T.U. Legge Comunale e Provinciale, con spese a carico degli interessati.

Trascorso un mese dall'interruzione delle opere e a meno che questa dipenda da provate cause di forza maggiore, il Sindaco potrà far cessare l'occupazione di suolo pubblico eventualmente autorizzata.",82,90,439,447,181,70,60,3,0,22,16,1,0,3,8,1,0,7,16,2,8,0,3,3,14,2,85.36585365853658,46.4390243902439,35.19105691056909,0.5853658536585366,62,53,10,10,99.29498434066772,64,10,12,7,10,0.682,0.991,0.951,0.863
molise,Regolamento Edilizio e Norme Techiche di Attuazione,8,Art. 31 - Demolizioni,"Nelle opere di demolizioni è vietato tenere accumulati in qualsiasi luogo, materiali provenienti dalle demolizioni stesse, quando possa esservi pericolo di incendio ed è vietato accumulare materiali pesanti nei piani superiori di un edificio.

È vietato altresì calare materiali di demolizioni verso la via pubblica; quando ciò sia reso necessario dalla natura delle opere o dei luoghi, i materiali stessi dovranno venir calati entro contenitori o per appositi condotti o mediante corde od altri mezzi che diano garanzia di sicurezza.

Dovranno, altresì, osservarsi le eventuali prescrizioni stabilite dagli altri regolamenti comunali ed adottarsi tutte quelle speciali cautele che l'Autorità Comunale potrà ordinare caso per caso e dovranno adottarsi gli accorgimenti atti ad evitare il polverio.","Nelle opere di demolizione è vietato tenere accumulati in qualsiasi luogo materiali provenienti dalle demolizioni stesse, quando possa esservi pericolo di incendio, ed è vietato accumulare materiali pesanti nei piani superiori di un edificio.

È vietato anche calare materiali di demolizione verso la via pubblica; quando ciò sia reso necessario dalla natura delle opere o dei luoghi, i materiali stessi dovranno essere calati entro contenitori o per appositi condotti o mediante corde o altri mezzi che diano garanzia di sicurezza.

Dovranno, inoltre, osservarsi le eventuali prescrizioni stabilite dagli altri regolamenti comunali ed adottarsi tutte quelle speciali cautele che l'Autorità Comunale potrà ordinare caso per caso e dovranno adottarsi gli accorgimenti atti ad evitare il polverio.",116,125,670,679,284,93,74,4,0,29,28,0,0,2,9,4,0,15,19,1,9,0,7,2,17,11,80.17241379310344,41.58620689655172,17.86206896551724,0.6379310344827587,94,79,15,13,99.90367889404297,18,5,4,3,2,0.992,0.917,0.19699999999999998,1.0
veneto,Regolamento comunale per la tutela degli animali,1,Art. 1 – Valori etici e culturali,"Il Comune di Verona nell'ambito dei principi e indirizzi fissati dalle vigenti leggi tutela le specie animali non umane, in conformità a principi etici e morali, e riconosce agli stessi il diritto a una esistenza compatibile con la loro natura, quale elemento fondamentale e indispensabile di una morale biocentrica.

Il Comune di Verona, comunità portatrice di elevati valori di cultura e civiltà, individua nella tutela delle specie animali non umane uno strumento finalizzato al rispetto e alla tolleranza verso tutti gli esseri viventi e, in particolare, verso i più deboli.

Il Comune di Verona, per favorire la corretta convivenza fra uomo e animali, e tutelare la salute pubblica e l'ambiente, promuove e sostiene iniziative e interventi rivolti alla conservazione degli ecosistemi e degli equilibri ecologici; le modifiche degli assetti del territorio dovranno tenere conto anche degli habitat a cui gli animali sono legati per la loro esistenza.

Il Comune di Verona si impegna a operare affinché sia promosso, nel sistema educativo rivolto all'intera popolazione e soprattutto all'infanzia, il rispetto degli animali e il principio della corretta convivenza con gli stessi.

Il Comune di Verona si adopera altresì a diffondere e promuovere le garanzie giuridiche attribuite agli animali dalle normative vigenti.

Il Comune di Verona riconosce la libertà di ogni cittadino di esercitare le attività connesse alla cura degli animali, quale mezzo che concorre a sviluppare la personalità e ad attenuare le difficoltà espressive e di socializzazione, soprattutto nelle fasi dell'infanzia e della vecchiaia.

Il Comune di Verona riconosce validità etica e morale a tutte le forme di pensiero che si richiamano al dovere del rispetto e della promozione di iniziative per la sopravvivenza delle specie animali.

Il Comune di Verona, in collaborazione con i Servizi Veterinari dell'Azienda Ulss 9 Scaligera, promuove e attua corsi di formazione e/o di aggiornamento sul benessere animale rivolti ai medici veterinari, al personale di vigilanza, agli operatori del settore e alle associazioni di volontariato.

Il Comune di Verona, i Servizi Veterinari dell'Azienda Ulss 9 Scaligera e l'Ordine dei Medici Veterinari, in collaborazione con le Associazioni Protezionistiche iscritte all'Albo Regionale riconosciute ai sensi dell'art. 9 della L.R. 60/93 e della circolare applicativa n. 11 del 10.5.1994, promuovono programmi di formazione e informazione rivolti alle scuole e ai cittadini.","Il Comune di Verona, nell'ambito dei principi e indirizzi fissati dalle vigenti leggi, tutela le specie animali non umane, in conformità a principi etici e morali, e riconosce agli stessi il diritto a un'esistenza compatibile con la loro natura, quale elemento fondamentale e indispensabile di una morale biocentrica.

Il Comune di Verona, comunità portatrice di elevati valori di cultura e civiltà, individua nella tutela delle specie animali non umane uno strumento finalizzato al rispetto e alla tolleranza verso tutti gli esseri viventi e, in particolare, verso i più deboli.

Il Comune di Verona, per favorire la corretta convivenza fra uomo e animali e tutelare la salute pubblica e l'ambiente, promuove e sostiene iniziative e interventi rivolti alla conservazione degli ecosistemi e degli equilibri ecologici; le modifiche degli assetti del territorio dovranno tenere conto anche degli habitat a cui gli animali sono legati per la loro esistenza.

Il Comune di Verona si impegna a operare affinché sia promosso, nel sistema educativo rivolto all'intera popolazione e soprattutto all'infanzia, il rispetto degli animali e il principio della corretta convivenza con gli stessi.

Il Comune di Verona si adopera anche a diffondere e promuovere le garanzie giuridiche attribuite agli animali dalle normative vigenti.

Il Comune di Verona riconosce la libertà di ogni cittadino di esercitare le attività connesse alla cura degli animali, quale mezzo che concorre a sviluppare la personalità e ad attenuare le difficoltà espressive e di socializzazione, soprattutto nelle fasi dell'infanzia e della vecchiaia.

Il Comune di Verona riconosce validità etica e morale a tutte le forme di pensiero che si richiamano al dovere del rispetto e della promozione di iniziative per la sopravvivenza delle specie animali.

Il Comune di Verona, in collaborazione con i Servizi Veterinari dell'Azienda Ulss 9 Scaligera, promuove e attua corsi di formazione e/o di aggiornamento sul benessere animale rivolti ai medici veterinari, al personale di vigilanza, agli operatori del settore e alle associazioni di volontariato.

Il Comune di Verona, i Servizi Veterinari dell'Azienda Ulss 9 Scaligera e l'Ordine dei Medici Veterinari, in collaborazione con le Associazioni Protezionistiche iscritte all'Albo Regionale riconosciute ai sensi dell'art. 9 della L.R. 60/93 e della circolare applicativa n. 11 del 10.5.1994, promuovono programmi di formazione e informazione rivolti alle scuole e ai cittadini.",382,414,2076,2108,885,203,167,10,0,97,38,6,0,7,43,8,0,33,92,29,32,0,28,1,34,4,53.141361256544506,42.50785340314136,17.21099476439788,0.4581151832460733,277,229,57,58,99.85756278038025,6,1,1,1,0,0.985,0.363,0.971,1.0
veneto,Regolamento comunale per la tutela degli animali,2,Art. 2 – Competenze del Sindaco,"Il Sindaco, sulla base del dettato degli artt. 823 e 826 del Codice Civile, esercita la tutela delle specie animali che vivono stabilmente o temporaneamente sul territorio comunale, vigilando a mezzo degli organi competenti sui maltrattamenti, sugli atti di crudeltà e sull'abbandono degli animali presenti allo stato libero nel territorio comunale.

Al Sindaco, in base al D.P.R. 31.3.1979, spetta la vigilanza sull'osservanza delle leggi e dei regolamenti generali e locali, relativi alla protezione degli animali e alla difesa del patrimonio zootecnico, nonché l'attuazione delle disposizioni previste nel presente Regolamento anche mediante l'adozione di specifici provvedimenti applicativi.

Il Sindaco, per motivi di sanità e sicurezza pubblica, può disporre provvedimenti straordinari per la gestione delle specie animali che vivono stabilmente o temporaneamente allo stato libero nel territorio comunale.","Il Sindaco, sulla base del dettato degli artt. 823 e 826 del Codice Civile, esercita la tutela delle specie animali che vivono stabilmente o temporaneamente sul territorio comunale, vigilando, tramite gli organi competenti, sui maltrattamenti, sugli atti di crudeltà e sull'abbandono degli animali presenti allo stato libero nel territorio comunale.

Al Sindaco, in base al D.P.R. 31.3.1979, spetta la vigilanza sull'osservanza delle leggi e dei regolamenti generali e locali relativi alla protezione degli animali e alla difesa del patrimonio zootecnico, e anche l'attuazione delle disposizioni previste nel presente Regolamento, anche mediante l'adozione di specifici provvedimenti applicativi.

Il Sindaco, per motivi di sanità e sicurezza pubblica, può disporre provvedimenti straordinari per la gestione delle specie animali che vivono stabilmente o temporaneamente allo stato libero nel territorio comunale.",130,145,771,786,321,85,71,3,0,40,8,3,0,6,8,2,0,19,34,1,15,0,9,0,8,0,65.38461538461539,36.61538461538461,2.166666666666636,0.5615384615384615,87,66,23,14,99.91307854652405,10,2,3,2,3,1.0,0.8140000000000001,0.965,1.0
