region,topic,progress,title,text,simplified_text,n_tokens,n_tokens_all,n_chars,n_chars_all,n_syllables,n_words,n_unique_lemmas,n_sentences,n_other,n_nouns,n_verbs,n_number,n_symbols,n_adverbs,n_articles,n_pronouns,n_particles,n_adjectives,n_prepositions,n_proper_nouns,n_punctuations,n_interjections,n_coordinating_conjunctions,n_subordinating_conjunctions,n_active_verbs,n_passive_verbs,ttr,gulpease,flesch_vacca,lexical_density,n_vdb,n_vdb_fo,n_vdb_au,n_vdb_ad,semantic_similarity,editdistance,n_added_tokens,n_deleted_tokens,n_added_vdb_tokens,n_deleted_vdb_tokens,readit_base,readit_lexical,readit_syntactic,readit_global
molise,Regolamento Edilizio e Norme Techiche di Attuazione,1,Art. 7 - Opere soggette ad autorizzazione,"Le seguenti opere, permanenti, semipermanenti o in precario sia pubbliche che private sono soggette ad autorizzazione:
- lottizzazione di aree a scopo edificatorio;
- opere di urbanizzazione;
- nuove costruzioni;
- ampliamenti, sopraelevazioni, ricostruzioni anche parziali;
- modifiche e riattamenti dell'aspetto esterno dei fabbricati;
- modifiche nell'ubicazione di costruzioni trasferibili;
- demolizioni;
- costruzione, restauro, modifiche, demolizione e ricostruzione di muri di cinte, cancellate, recinzioni, prospicienti spazi di uso pubblico, chioschi permanenti e provvisori;
- scavi, rinterri, muri di sostegno e rilevati in genere, quando modificano in misura notevole lo stato dei luoghi, fognature, acquedotto;
- cappelle, edicole e monumenti funerari in genere;
- abbattimento di alberi in zone destinate dal P.R.G. a parchi e giardini privati ed in complessi alberati di valore ambientale;
- aperture e modifiche di accessi privati sulle fronti stradali e su aree pubbliche;
- costruzione o trasformazione di vetrine, collocamento di insegne, mostre, cartelli od affissi pubblicitari od indicatori, lumi, memorie, monumenti, costruzione di tettorie, pensiline, verande o tende all'esterno di edifici, anche provvisorie, in luoghi pubblici aperti o prospettanti luoghi pubblici;
- esecuzione di manutenzione straordinaria, qualora comporti installazioni di ponteggi o scale mobili o ponti volanti;
- installazione di condutture elettriche, telefoniche, di gas, fognature, ecc., sia da parte di privati che di società concessionaria, nei suoli pubblici e privati e negli esterni di edifici esistenti;
- rivestimenti, decorazioni, e tinteggiatura di edifici.

Quando le opere siano da eseguirsi per ordine dell'autorità giudiziaria, si dovrà fare esplicita menzione nella domanda di licenza, precisando gli estremi della sentenza e riportando integralmente la parte del dispositivo precisante le opere ordinate.

Nessuna modificazione o riduzione potrà apportarsi in corso di lavoro, alle opere autorizzate, prima di averne chiesta ed ottenuta licenza, equivalendo ciò ad esecuzione abusiva di opere edilizie ai sensi del succitato articolo 31 della Legge urbanistica.","Le seguenti opere, sia pubbliche che private, devono avere un'autorizzazione:

- Lottizzazione di aree per costruzioni.
- Opere di urbanizzazione.
- Nuove costruzioni.
- Ampliamenti, sopraelevazioni e ricostruzioni, anche parziali.
- Modifiche e riattamenti dell'aspetto esterno degli edifici.
- Cambiamenti nella posizione di costruzioni trasferibili.
- Demolizioni.
- Costruzione, restauro, modifiche, demolizione e ricostruzione di muri di cinta, cancellate, recinzioni, chioschi permanenti e provvisori, che si affacciano su spazi pubblici.
- Scavi, rinterri, muri di sostegno e rilevati che cambiano notevolmente lo stato dei luoghi, fognature e acquedotti.
- Cappelle, edicole e monumenti funerari.
- Abbattimento di alberi in aree destinate a parchi e giardini privati, e in complessi alberati di valore ambientale.
- Aperture e modifiche di accessi privati su strade e aree pubbliche.
- Costruzione o modifica di vetrine, installazione di insegne, mostre, cartelli pubblicitari, lumi, memorie, monumenti, e costruzione di tettorie, pensiline, verande o tende all'esterno degli edifici, anche se provvisorie, in spazi pubblici.
- Manutenzione straordinaria che richiede l'uso di ponteggi, scale mobili o ponti volanti.
- Installazione di condutture elettriche, telefoniche, di gas e fognature, sia da parte di privati che di società, in suoli pubblici e privati e all'esterno di edifici esistenti.
- Rivestimenti, decorazioni e tinteggiatura di edifici.

Se le opere devono essere eseguite per ordine dell'autorità giudiziaria, è necessario indicarlo nella domanda di licenza, specificando i dettagli della sentenza e riportando la parte del dispositivo che descrive le opere ordinate.

Non è possibile apportare modifiche o riduzioni alle opere autorizzate durante i lavori, senza aver prima richiesto e ottenuto una nuova licenza. Questo è considerato un'esecuzione abusiva di opere edilizie, secondo l'articolo 31 della Legge urbanistica.",266,339,1599,1672,664,174,151,20,0,100,25,1,0,5,12,7,0,38,47,5,73,0,24,2,20,5,65.41353383458647,51.443609022556394,30.444360902255635,0.631578947368421,206,175,31,45,96.69788479804993,530,63,82,42,48,0.182,0.993,0.992,1.0
molise,Regolamento Edilizio e Norme Techiche di Attuazione,2,Art. 8 - Opere non soggette ad autorizzazione,"Non sono soggette alla autorizzazione:
- le opere pubbliche da eseguirsi direttamente da Amministrazioni Statali. Tali Amministrazioni comunque devono depositare presso il Sindaco prima dell'inizio di qualsiasi opera, la prova dell'accertamento di cui agli articoli 29 e 31 comma 2° della vigente legge urbanistica;
- (voce eliminata)
- le opere e le installazioni per la segnaletica stradale orizzontale e verticale, in applicazione del Codice della strada;
- le opere in ordinaria e straordinaria manutenzione che non comportino modificazioni dei fabbricati e comunque non interessino edifici tutelati ai sensi della legge 1 giugno1939, n. 1089;
- la costruzione di baracche da cantiere e le protezioni stagionali;
- gli impianti di servizi accessori dei fabbricati come illuminazione, energia industriale, gas, telefono, riscaldamento, ventilazione, ascensori, montacarichi ed opere inerenti, salvo l'osservanza delle disposizioni di Legge e di Regolamento speciali e solo nel caso che tali impianti non comportino la esecuzione di opere visibili all'esterno;
- le opere di assoluta urgenza e di necessità immediata ordinata dal Sindaco.

Del pari non è richiesta l'autorizzazione per la modificazione della situazione in atto del suolo, per eseguirvi strade, scavi, spianamenti, canali e, in genere, qualsiasi alterazione di sopra e sottosuolo che risponda ad esigenza di carattere agrario o minerario.

L'esenzione dell'autorizzazione non esonera l'interessato dall'obbligo della preventiva denuncia agli effetti dell'applicazione della imposta di consumo o da altra imposta sostitutiva di questa sui materiali od apparecchi impiegati.","Non è necessaria l'autorizzazione per:

- le opere pubbliche realizzate direttamente dalle Amministrazioni Statali. Queste Amministrazioni devono comunque presentare al Sindaco, prima di iniziare i lavori, la prova dell'accertamento previsto dagli articoli 29 e 31, comma 2, della legge urbanistica vigente;
- le opere e le installazioni per la segnaletica stradale orizzontale e verticale, secondo quanto stabilito dal Codice della strada;
- le opere di ordinaria e straordinaria manutenzione che non modificano i fabbricati e non riguardano edifici tutelati dalla legge 1 giugno 1939, n. 1089;
- la costruzione di baracche da cantiere e le protezioni stagionali;
- gli impianti di servizi accessori ai fabbricati, come illuminazione, energia industriale, gas, telefono, riscaldamento, ventilazione, ascensori e montacarichi. Questi impianti devono rispettare le leggi e i regolamenti speciali e non devono comportare opere visibili all'esterno;
- le opere di assoluta urgenza e necessità immediata ordinate dal Sindaco.

Non è richiesta l'autorizzazione nemmeno per modificare il suolo, per realizzare strade, scavi, spianamenti, canali e, in generale, per qualsiasi alterazione del sopra e sottosuolo che risponda a esigenze agrarie o minerarie.

L'esenzione dall'autorizzazione non esonera l'interessato dall'obbligo di presentare una denuncia per l'applicazione dell'imposta di consumo o di altre imposte sostitutive sui materiali o apparecchi utilizzati.",206,242,1220,1256,509,144,123,11,0,69,22,6,0,10,24,3,0,22,35,0,36,0,15,0,20,2,69.90291262135922,45.79611650485437,26.66593115622242,0.5970873786407767,159,130,27,26,97.62344360351562,362,42,56,31,37,0.693,0.9740000000000001,0.9790000000000001,0.982
molise,Regolamento Edilizio e Norme Techiche di Attuazione,3,Art. 26 - Occupazione temporanea e manomissione del suolo pubblico,"Nel caso di necessità di occupazione di suolo pubblico, deve essere fatta separata domanda al Sindaco con la indicazione planimetrica dell'area da includere nel recinto di cantiere, al fine di ottenere la concessione temporanea per la durata presunta dei lavori.

La concessione è rinnovabile di sei mesi in sei mesi ed è subordinata al pagamento della tassa di occupazione di spazi ed aree pubbliche ed al versamento cauzionale, per la rimessa in ripristino, sia di terrazzamento sia di pavimentazione o vegetazione, allo scadere della concessione oppure in caso di prolungata sospensione dei lavori.

Il predetto deposito cauzionale viene restituito per intero o in parte, a seconda che il ripristino sia stato eseguito a regola d'arte o meno, trascorsi 60 (sessanta) giorni dall'avvenuto ripristino del suolo manomesso.","Se hai bisogno di occupare un'area pubblica, devi fare una domanda al Sindaco. Nella domanda, indica chiaramente l'area che vuoi includere nel recinto di cantiere. Questo ti permetterà di ottenere una concessione temporanea per la durata prevista dei lavori.

La concessione può essere rinnovata ogni sei mesi. Per rinnovarla, devi pagare la tassa per l'occupazione di spazi pubblici e versare una cauzione. Questa cauzione serve per garantire il ripristino dell'area, sia che si tratti di terrazzamento, pavimentazione o vegetazione, alla scadenza della concessione o se i lavori si fermano per un lungo periodo.

La cauzione verrà restituita completamente o in parte, a seconda che il ripristino sia stato fatto correttamente. La restituzione avverrà 60 giorni dopo che il suolo è stato ripristinato.",126,141,664,679,274,93,76,8,0,34,31,2,0,4,18,5,0,4,19,0,15,0,4,5,20,11,73.80952380952381,55.34920634920635,48.90079365079367,0.5793650793650794,107,92,14,12,94.98093128204346,340,57,48,49,33,0.293,0.28800000000000003,0.024,0.07
molise,Regolamento Edilizio e Norme Techiche di Attuazione,4,Art. 27 - Controllo sulla esecuzione dei lavori,"Ogni costruzione è soggetta al controllo dell'Autorità Comunale durante la esecuzione dei lavori.

La vigilanza sulla esecuzione delle opere viene esercitata da Funzionari od Agenti Comunali i quali dovranno avere libero accesso agli immobili.","Ogni costruzione deve essere controllata dall'Autorità Comunale mentre si svolgono i lavori.

I Funzionari o Agenti Comunali vigilano sull'esecuzione delle opere e devono avere libero accesso agli immobili.",30,32,176,178,75,30,28,2,0,9,7,0,0,0,3,1,0,3,4,0,2,0,2,1,4,3,100.0,50.333333333333336,28.5,0.6333333333333333,21,20,1,2,98.63356947898865,102,13,17,10,12,0.311,1.0,0.006999999999999999,0.449
molise,Regolamento Edilizio e Norme Techiche di Attuazione,5,Art. 28 - Visite di controllo - termini e modalità,"Durante l'esecuzione dei lavori i proprietari dovranno chiedere per iscritto l'effettuazione delle seguenti tre visite di funzionari o agenti municipali per constatare il regolare andamento e l'esatta corrispondenza delle opere in esecuzione col progetto approvato ed eventuali varianti preventivamente autorizzate:
- Visita alle fondazioni: La prima visita verrà effettuata non appena le opere di fondazione siano ultimate
- Visita al rustico: La seconda visita verrà effettuata non appena ultimata la costruzione delle strutture portanti ivi comprese le murature d'ambito, scale, coperture e tavolati divisori.
- Visita ai lavori ultimati: La terza visita verrà effettuata a lavori ultimati per constatare in via definitiva la corrispondenza delle opere ivi comprese tutte le rifiniture e materiali impiegati per i rivestimenti esterni, al progetto approvato e alle eventuali varianti preventivamente autorizzate.

Dell'obbligo della richiesta scritta delle visite di controllo di cui ai punti a, b, e c, verrà fatta menzione nelle prescrizioni contenute nella licenza di costruzione.

Qualora nel corso delle suddette visite si accertasse la difformità delle opere eseguite da quelle approvate, si procederà nei confronti dei trasgressori a termine di legge.

Per ogni visita sarà redatto apposito verbale in duplice copia di cui una deve rimanere in cantiere.

La mancata visita da parte dei servizi comunali non esime il titolare della licenza di costruzione il Direttore dei lavori o l'assuntore dei lavori dalle loro responsabilità circa l'inosservanza tanto delle norme generali di legge o di regolamento quanto delle modalità esecutive che siano fissate nella licenza di costruzione.","Durante i lavori, i proprietari devono richiedere per iscritto tre visite da parte di funzionari o agenti del comune. Queste visite servono a controllare che i lavori siano eseguiti correttamente e che corrispondano al progetto approvato e alle eventuali modifiche autorizzate in anticipo. Le visite sono le seguenti:

1. **Visita alle fondazioni**: Questa visita avverrà non appena le fondazioni saranno completate.
   
2. **Visita al rustico**: Questa visita si svolgerà dopo il completamento delle strutture portanti, comprese le murature, le scale, le coperture e i divisori.

3. **Visita ai lavori ultimati**: Questa visita avverrà quando i lavori saranno finiti, per verificare che tutto, comprese le rifiniture e i materiali esterni, corrisponda al progetto approvato e alle eventuali modifiche autorizzate.

L'obbligo di richiedere queste visite sarà indicato nelle istruzioni della licenza di costruzione.

Se durante le visite si riscontrano differenze tra i lavori eseguiti e quelli approvati, si prenderanno provvedimenti legali contro i responsabili.

Per ogni visita sarà redatto un verbale in due copie, di cui una deve rimanere in cantiere.

La mancata visita da parte dei servizi comunali non solleva il titolare della licenza di costruzione, il Direttore dei lavori o l'assuntore dai loro obblighi riguardo al rispetto delle leggi e delle regole stabilite nella licenza di costruzione.",209,247,1149,1187,496,130,107,16,0,64,30,5,0,4,31,8,0,15,38,0,38,0,9,5,22,8,62.20095693779905,56.99043062200957,38.679126794258366,0.5406698564593302,172,147,24,17,96.36651873588562,660,63,92,54,67,0.386,0.11800000000000001,0.988,0.9890000000000001
molise,Regolamento Edilizio e Norme Techiche di Attuazione,6,Art. 29 - Cautele contro danni a manufatti per servizi pubblici,"Qualora per l'esecuzione di opere occorra manomettere il suolo e sottosuolo pubblico o costruire recinzioni e ponteggi, il costruttore dovrà:
- Ottenere l'autorizzazione dell'Amministrazione Comunale;
- Adottare le cautele necessarie per evitare danni ai relativi manufatti e condutture;
- Dare avviso agli Uffici od Impresa che eserciscono servizi pubblici.","Se un costruttore deve lavorare sul suolo o sottosuolo pubblico, o costruire recinzioni e ponteggi, deve:

- Ottenere l'autorizzazione dal Comune;
- Prendere le precauzioni necessarie per non danneggiare i manufatti e le condutture;
- Informare gli Uffici o le Imprese che gestiscono i servizi pubblici.",44,53,248,257,106,37,33,4,0,12,9,0,0,1,8,1,0,3,3,1,9,0,5,1,9,0,84.0909090909091,59.90909090909091,38.40909090909091,0.5681818181818182,30,27,2,6,96.33780717849731,123,18,24,12,16,0.061,1.0,0.009000000000000001,0.021
molise,Regolamento Edilizio e Norme Techiche di Attuazione,7,Art. 30 - Interruzione dei lavori ed obblighi relativi,"In caso di interruzione delle opere il proprietario dovrà fare eseguire i lavori necessari a mantenere la solidità della parte costruita ed a togliere eventuali deturpazioni.

In caso di inadempienza il Sindaco potrà provvedere d'Ufficio, ai sensi dell'art. 153 del T.U. Legge Comunale e Provinciale, con spese a carico degli interessati.

Trascorso un mese dalla interruzione delle opere e salvo il caso che questa dipenda da provate cause di forza maggiore, sarà facoltà del Sindaco di far cessare l'occupazione di suolo pubblico eventualmente autorizzata.","Se i lavori vengono interrotti, il proprietario deve eseguire i lavori necessari per mantenere la solidità della costruzione e rimuovere eventuali deturpazioni.

Se il proprietario non rispetta questo obbligo, il Sindaco può intervenire direttamente, secondo l'articolo 153 del T.U. Legge Comunale e Provinciale, e le spese saranno a carico del proprietario.

Se passano 30 giorni dall'interruzione dei lavori, e a meno che non ci siano cause di forza maggiore documentate, il Sindaco può decidere di far cessare l'occupazione del suolo pubblico che era stata autorizzata.",88,97,477,486,201,66,57,3,0,22,19,2,0,4,11,2,0,6,12,2,9,0,4,4,14,5,75.0,45.02272727272727,28.200757575757546,0.5795454545454546,72,63,10,9,96.5933620929718,219,34,39,29,29,0.7859999999999999,0.36200000000000004,0.16,0.145
molise,Regolamento Edilizio e Norme Techiche di Attuazione,8,Art. 31 - Demolizioni,"Nelle opere di demolizioni è vietato tenere accumulati in qualsiasi luogo, materiali provenienti dalle demolizioni stesse, quando possa esservi pericolo di incendio ed è vietato accumulare materiali pesanti nei piani superiori di un edificio.

È vietato altresì calare materiali di demolizioni verso la via pubblica; quando ciò sia reso necessario dalla natura delle opere o dei luoghi, i materiali stessi dovranno venir calati entro contenitori o per appositi condotti o mediante corde od altri mezzi che diano garanzia di sicurezza.

Dovranno, altresì, osservarsi le eventuali prescrizioni stabilite dagli altri regolamenti comunali ed adottarsi tutte quelle speciali cautele che l'Autorità Comunale potrà ordinare caso per caso e dovranno adottarsi gli accorgimenti atti ad evitare il polverio.","Durante le demolizioni, è vietato accumulare materiali in qualsiasi luogo se ciò può causare un pericolo di incendio. Inoltre, non è permesso accumulare materiali pesanti nei piani superiori di un edificio.

È anche vietato far scendere materiali di demolizione verso la strada. Se è necessario farlo a causa della natura dei lavori o dei luoghi, i materiali devono essere calati in contenitori, attraverso appositi condotti, o con corde e altri mezzi sicuri.

Inoltre, è importante seguire le regole stabilite da altri regolamenti comunali e adottare le precauzioni speciali che l'Autorità Comunale potrà richiedere di volta in volta. Infine, è necessario prendere misure per evitare la formazione di polvere.",109,122,588,601,257,83,73,6,0,28,26,0,0,5,10,2,0,12,19,1,13,0,4,2,22,4,76.14678899082568,51.56880733944954,34.57645259938839,0.6513761467889908,98,88,10,10,96.26197814941406,319,38,52,34,36,0.522,0.82,0.141,0.03
veneto,Regolamento comunale per la tutela degli animali,1,Art. 1 – Valori etici e culturali,"Il Comune di Verona nell'ambito dei principi e indirizzi fissati dalle vigenti leggi tutela le specie animali non umane, in conformità a principi etici e morali, e riconosce agli stessi il diritto a una esistenza compatibile con la loro natura, quale elemento fondamentale e indispensabile di una morale biocentrica.

Il Comune di Verona, comunità portatrice di elevati valori di cultura e civiltà, individua nella tutela delle specie animali non umane uno strumento finalizzato al rispetto e alla tolleranza verso tutti gli esseri viventi e, in particolare, verso i più deboli.

Il Comune di Verona, per favorire la corretta convivenza fra uomo e animali, e tutelare la salute pubblica e l'ambiente, promuove e sostiene iniziative e interventi rivolti alla conservazione degli ecosistemi e degli equilibri ecologici; le modifiche degli assetti del territorio dovranno tenere conto anche degli habitat a cui gli animali sono legati per la loro esistenza.

Il Comune di Verona si impegna a operare affinché sia promosso, nel sistema educativo rivolto all'intera popolazione e soprattutto all'infanzia, il rispetto degli animali e il principio della corretta convivenza con gli stessi.

Il Comune di Verona si adopera altresì a diffondere e promuovere le garanzie giuridiche attribuite agli animali dalle normative vigenti.

Il Comune di Verona riconosce la libertà di ogni cittadino di esercitare le attività connesse alla cura degli animali, quale mezzo che concorre a sviluppare la personalità e ad attenuare le difficoltà espressive e di socializzazione, soprattutto nelle fasi dell'infanzia e della vecchiaia.

Il Comune di Verona riconosce validità etica e morale a tutte le forme di pensiero che si richiamano al dovere del rispetto e della promozione di iniziative per la sopravvivenza delle specie animali.

Il Comune di Verona, in collaborazione con i Servizi Veterinari dell'Azienda Ulss 9 Scaligera, promuove e attua corsi di formazione e/o di aggiornamento sul benessere animale rivolti ai medici veterinari, al personale di vigilanza, agli operatori del settore e alle associazioni di volontariato.

Il Comune di Verona, i Servizi Veterinari dell'Azienda Ulss 9 Scaligera e l'Ordine dei Medici Veterinari, in collaborazione con le Associazioni Protezionistiche iscritte all'Albo Regionale riconosciute ai sensi dell'art. 9 della L.R. 60/93 e della circolare applicativa n. 11 del 10.5.1994, promuovono programmi di formazione e informazione rivolti alle scuole e ai cittadini.","**Comune di Verona: Tutela degli Animali**

Il Comune di Verona si impegna a proteggere gli animali, seguendo le leggi vigenti e rispettando i principi etici. Riconosce il diritto degli animali a vivere in modo compatibile con la loro natura, come parte di una morale che mette al centro la vita.

Verona, come comunità con valori di cultura e civiltà, considera la protezione degli animali un modo per promuovere il rispetto e la tolleranza verso tutti gli esseri viventi, specialmente quelli più vulnerabili.

Per garantire una buona convivenza tra uomini e animali e per proteggere la salute pubblica e l'ambiente, il Comune promuove iniziative per conservare gli ecosistemi e mantenere gli equilibri ecologici. Le modifiche al territorio devono tenere conto degli habitat necessari per la vita degli animali.

Il Comune si impegna a educare la popolazione, in particolare i bambini, al rispetto degli animali e alla corretta convivenza con loro.

Inoltre, il Comune lavora per diffondere le leggi che proteggono gli animali.

Ogni cittadino ha il diritto di prendersi cura degli animali. Questa attività aiuta a sviluppare la personalità e a migliorare le capacità di comunicazione e socializzazione, soprattutto nei bambini e negli anziani.

Il Comune riconosce l'importanza di rispettare e promuovere iniziative per la sopravvivenza delle specie animali.

In collaborazione con i Servizi Veterinari dell'Azienda Ulss 9 Scaligera, il Comune organizza corsi di formazione e aggiornamento sul benessere animale per veterinari, personale di vigilanza, operatori del settore e associazioni di volontariato.

Insieme ai Servizi Veterinari e all'Ordine dei Medici Veterinari, il Comune promuove programmi di formazione e informazione per le scuole e i cittadini, in collaborazione con le Associazioni Protezionistiche riconosciute.",275,307,1519,1551,658,157,135,13,0,85,32,1,0,5,44,6,0,15,57,13,32,0,17,0,32,0,57.09090909090909,47.945454545454545,29.318881118881144,0.49818181818181817,227,200,36,34,95.9753692150116,1056,55,113,48,78,0.7709999999999999,0.08900000000000001,0.7020000000000001,0.03
veneto,Regolamento comunale per la tutela degli animali,2,Art. 2 – Competenze del Sindaco,"Il Sindaco, sulla base del dettato degli artt. 823 e 826 del Codice Civile, esercita la tutela delle specie animali che vivono stabilmente o temporaneamente sul territorio comunale, vigilando a mezzo degli organi competenti sui maltrattamenti, sugli atti di crudeltà e sull'abbandono degli animali presenti allo stato libero nel territorio comunale.

Al Sindaco, in base al D.P.R. 31.3.1979, spetta la vigilanza sull'osservanza delle leggi e dei regolamenti generali e locali, relativi alla protezione degli animali e alla difesa del patrimonio zootecnico, nonché l'attuazione delle disposizioni previste nel presente Regolamento anche mediante l'adozione di specifici provvedimenti applicativi.

Il Sindaco, per motivi di sanità e sicurezza pubblica, può disporre provvedimenti straordinari per la gestione delle specie animali che vivono stabilmente o temporaneamente allo stato libero nel territorio comunale.","Il Sindaco, secondo gli articoli 823 e 826 del Codice Civile, protegge le specie animali che vivono nel comune, sia stabilmente che temporaneamente. Controlla, attraverso gli organi competenti, i maltrattamenti, gli atti di crudeltà e l'abbandono degli animali che si trovano liberi nel territorio.

In base al D.P.R. 31.3.1979, il Sindaco deve vigilare sul rispetto delle leggi e dei regolamenti, sia nazionali che locali, che riguardano la protezione degli animali e la difesa del patrimonio zootecnico. Deve anche attuare le disposizioni di questo Regolamento, adottando provvedimenti specifici quando necessario.

Per motivi di sanità e sicurezza pubblica, il Sindaco può adottare misure straordinarie per gestire le specie animali che vivono liberamente nel comune.",113,129,641,657,266,83,71,5,0,31,14,3,0,4,14,5,0,12,19,1,16,0,8,2,14,0,73.45132743362832,45.54867256637168,30.391150442477844,0.5398230088495575,92,78,17,9,98.24288487434387,319,39,43,38,28,0.867,0.8690000000000001,0.043,0.045
