input,output
"Come attuato di recente da altre regioni, abbiamo scelto di realizzare un Piano snello, sintetico nella forma, di facile lettura, per renderlo accessibile a tutti, riportando in modo ben visibile le parole chiave e gli obiettivi e ricorrendo a numerosi elementi infografici per rinforzarne i contenuti. La finalità è quella di raggiungere, già nella forma grafica di redazione del PSSIR, uno degli obiettivi strategici che il piano si pone, cioè ""creare una nuova relazione con i cittadini e le comunità per un sistema di salute e di welfare etico e partecipato"", rendendolo più usufruibile e accessibile non solo agli addetti ai lavori, ma anche ai singoli cittadini che devono comprendere e capire, con parole semplici e immediate, quello che la propria Regione intende fare.

Il documento che vede, nel suo formato, cambiamenti importanti, punta alla semplicità, alla sinteticità e alla rapidità di comprensione e, quindi, riconosce, anche senza illustrarle, tutte le iniziative e azioni intraprese o da intraprendere nell'ambito del Sistema sanitario e sociale integrato regionale, secondo le disposizioni e i percorsi di livello nazionale o sovranazionale.","Come attuato di recente da altre regioni, abbiamo scelto di realizzare un Piano snello, sintetico nella forma e di facile lettura. L'obiettivo è renderlo accessibile a tutti. Per questo motivo, riportiamo in modo ben visibile le parole chiave e gli obiettivi e ricorriamo a numerosi elementi infografici per rinforzarne i contenuti. La finalità è quella di raggiungere, già nella forma grafica di redazione del PSSIR, uno degli obiettivi strategici che il piano si pone. L'obiettivo è ""creare una nuova relazione con i cittadini e le comunità per un sistema di salute e di welfare etico e partecipato"". Dunque, vogliamo renderlo più usufruibile e accessibile non solo agli addetti ai lavori, ma anche ai singoli cittadini. Infatti, i cittadini devono comprendere e capire, con parole semplici e immediate, quello che la propria Regione intende fare.

Il documento, che vede cambiamenti importanti nel suo formato, punta alla semplicità, alla sinteticità e alla rapidità di comprensione. Quindi, riconosce, anche senza illustrarle, tutte le iniziative e azioni intraprese o da intraprendere nell'ambito del Sistema sanitario e sociale integrato regionale. Questo avviene secondo le disposizioni e i percorsi di livello nazionale o sovranazionale."
"Il presente disciplinare stabilisce le norme per la partecipazione all'appalto per il servizio di raccolta differenziata ""porta a porta"" e altri servizi di igiene urbana e ambientali nel Comune di Vinchiaturo, e inoltre le norme per la determinazione dell'offerta più economica.

Per la formulazione dell'offerta, sono presenti nei documenti progettuali i dati relativi all'inquadramento territoriale, ai valori demografici e delle utenze servite dalla gestione corrente, alla produzione dei rifiuti al 31/12/2013 suddivisa per categorie merceologiche, alla percentuale di raccolta differenziata registrata al 31/12/2013, al calcolo della spesa per i servizi oggetto dell'appalto e al quadro economico della spesa.

Tutti i dati riportati nel presente documento e negli altri documenti di gara, anche se sufficientemente analitici, devono essere considerati dai partecipanti come puramente indicativi e minimali e non esimono gli stessi dalla verifica e dall'approfondimento sul campo prima della formulazione dell'offerta. Quindi, non potranno essere richieste integrazioni contrattuali o maggiori costi a carico dell'Ente e/o degli utenti per errate valutazioni dei partecipanti rispetto alla dimensione e alle caratteristiche del territorio da servire.","Il presente disciplinare stabilisce le norme per la partecipazione all'appalto per il servizio di raccolta differenziata ""porta a porta"" e altri servizi di igiene urbana e ambientali nel Comune di Vinchiaturo. Inoltre, stabilisce le norme per la determinazione dell'offerta più economica.

Per la formulazione dell'offerta, sono presenti nei documenti progettuali i dati relativi all'inquadramento territoriale, ai valori demografici e delle utenze servite dalla gestione corrente. Inoltre, sono presenti i dati relativi alla produzione dei rifiuti al 31/12/2013 suddivisa per categorie merceologiche e alla percentuale di raccolta differenziata registrata al 31/12/2013. Infine, sono presenti i dati relativi al calcolo della spesa per i servizi oggetto dell'appalto e al quadro economico della spesa.

Tutti i dati riportati nel presente documento e negli altri documenti di gara, anche se sufficientemente analitici, devono essere considerati dai partecipanti come puramente indicativi e minimali. Questi dati non esimono gli stessi dalla verifica e dall'approfondimento sul campo prima della formulazione dell'offerta. Quindi, non potranno essere richieste integrazioni contrattuali o maggiori costi a carico dell'Ente e/o degli utenti per errate valutazioni dei partecipanti rispetto alla dimensione e alle caratteristiche del territorio da servire."
"Tutti gli automezzi utilizzano gasolio ecologico a basso tenore di zolfo, secondo le norme UNI-CUNA EN 590/93, e le operazioni di manutenzione periodica garantiscono che i dispositivi di scarico siano sempre perfettamente efficienti e in grado di limitare adeguatamente le emissioni in atmosfera. L'azienda è inoltre impegnata in un rinnovamento continuo del proprio parco autobus, per migliorare costantemente i propri standard di qualità, di sicurezza e di rispetto dell'ambiente.

All'interno della sede dell'Azienda vengono inoltre attivate adeguate procedure di controllo operativo degli aspetti ambientali significativi per ridurre al minimo i potenziali impatti ambientali da essi derivanti. L'Azienda è impegnata:
- nella prevenzione dell'inquinamento della rete fognaria generato dagli scarichi idrici provenienti dalle operazioni di lavaggio degli autobus, dagli interventi in officina e dall'autorimessa dei mezzi;
- in una corretta gestione e un idoneo deposito temporaneo e smaltimento dei rifiuti pericolosi, per i quali la società si avvale di fornitori pienamente qualificati;
- in una continua campagna di informazione e sensibilizzazione di tutto il personale dell'azienda verso gli aspetti ambientali riguardanti il proprio servizio;
- nel risparmio energetico e nella razionalizzazione dell'utilizzo delle risorse naturali (acqua, metano, ecc.).","Tutti gli automezzi utilizzano gasolio ecologico a basso tenore di zolfo, secondo le norme UNI-CUNA EN 590/93. Le operazioni di manutenzione periodica garantiscono che i dispositivi di scarico siano sempre perfettamente efficienti e in grado di limitare adeguatamente le emissioni in atmosfera. L'azienda è inoltre impegnata in un rinnovamento continuo del proprio parco autobus, per migliorare costantemente i propri standard di qualità, di sicurezza e di rispetto dell'ambiente.

All'interno della sede dell'Azienda vengono inoltre attivate adeguate procedure di controllo operativo degli aspetti ambientali significativi. Queste sono attivate per ridurre al minimo i potenziali impatti ambientali da essi derivanti. L'Azienda è impegnata:
- nella prevenzione dell'inquinamento della rete fognaria generato dagli scarichi idrici provenienti dalle operazioni di lavaggio degli autobus, dagli interventi in officina e dall'autorimessa dei mezzi;
- in una corretta gestione e un idoneo deposito temporaneo e smaltimento dei rifiuti pericolosi, per i quali la società si avvale di fornitori pienamente qualificati;
- in una continua campagna di informazione e sensibilizzazione di tutto il personale dell'azienda verso gli aspetti ambientali riguardanti il proprio servizio;
- nel risparmio energetico e nella razionalizzazione dell'utilizzo delle risorse naturali (acqua, metano, ecc.)."
"La verifica delle evidenze viene assicurata sulla base dell'osservazione diretta di interviste al personale o ai pazienti e ai loro familiari o sulla base della documentazione esistente. La valutazione mediante l'esame delle procedure e dei documenti è circoscritta e costituisce, quando previsto, solo il punto di partenza dell'osservazione pratica della loro diffusione e applicazione.

Per il pieno utilizzo degli standard di accreditamento come strumenti per il miglioramento della qualità, è indispensabile prevedere una flessibilità nell'applicabilità dei singoli requisiti e delle relative evidenze, che consideri le caratteristiche relative alle dimensioni e la complessità delle diverse organizzazioni.","La verifica delle evidenze viene assicurata sulla base dell'osservazione diretta di interviste al personale o ai pazienti e ai loro familiari. Oppure, la verifica delle evidenze viene assicurata sulla base della documentazione esistente. La valutazione mediante l'esame delle procedure e dei documenti è circoscritta. Quando previsto, questa valutazione costituisce solo il punto di partenza dell'osservazione pratica della loro diffusione e applicazione.

Per il pieno utilizzo degli standard di accreditamento come strumenti per il miglioramento della qualità, è indispensabile prevedere una flessibilità nell'applicabilità dei singoli requisiti e delle relative evidenze. Questa flessibilità deve considerare le caratteristiche relative alle dimensioni e la complessità delle diverse organizzazioni."
"Se il gestore svolge più servizi (servizio rifiuti, idrico, elettricità, gas, altri servizi) e non è possibile stabilire a quale servizio si rivolge la chiamata telefonica, contribuiscono al calcolo dell'indicatore previsto da questo articolo tutte le chiamate telefoniche degli utenti che hanno richiesto di parlare con un operatore o che sono state reindirizzate a un operatore da parte di servizi automatici, indipendentemente dal servizio interessato.","Se il gestore svolge più servizi (servizio rifiuti, idrico, elettricità, gas, altri servizi) e non è possibile stabilire a quale servizio si rivolge la chiamata telefonica, contribuiscono al calcolo dell'indicatore previsto da questo articolo tutte le chiamate telefoniche degli utenti che hanno richiesto di parlare con un operatore o che sono state reindirizzate a un operatore da parte di servizi automatici. Questo vale indipendentemente dal servizio interessato."
"Il presente documento recepisce o integra i requisiti minimi strutturali e organizzativi fissati dallo Stato per l'autorizzazione all'esercizio e definisce i criteri per l'accreditamento dei servizi e delle strutture a ciclo diurno e residenziale, sociali e socio-sanitari della Regione Veneto. Tali standard nascono dalla sperimentazione delle ipotesi approvate in precedenza con DGR 2473/04. Dopo questa sperimentazione approvata con DGR 3855/04, grazie alla verifica sul campo degli standard ipotizzati e all'analisi dei relativi risultati da parte di tavoli tecnici istituiti a livello regionale con la partecipazione di operatori pubblici e privati coordinati dalla Direzione dei Servizi Sociali e dall'Agenzia Regionale Socio Sanitaria, si è addivenuti a quest'insieme di standard.

Si ricorda che, attraverso l'autorizzazione all'esercizio, si riconosce al servizio o alla struttura la possibilità di operare fornendo liberamente al cittadino i servizi e le prestazioni dichiarate. Con l'accreditamento, invece, si riconosce ai soggetti autorizzati la possibilità di fornire prestazioni o servizi che possono essere compensati con l'impiego di risorse pubbliche.","Il presente documento recepisce o integra i requisiti minimi strutturali e organizzativi fissati dallo Stato per l'autorizzazione all'esercizio. Inoltre, il presente documento definisce i criteri per l'accreditamento dei servizi e delle strutture a ciclo diurno e residenziale, sociali e socio-sanitari della Regione Veneto. Tali standard nascono dalla sperimentazione delle ipotesi approvate in precedenza con DGR 2473/04. Dopo questa sperimentazione approvata con DGR 3855/04, si è addivenuti a quest'insieme di standard. Questo è stato possibile grazie alla verifica sul campo degli standard ipotizzati e all'analisi dei relativi risultati da parte di tavoli tecnici. Questi tavoli tecnici sono stati istituiti a livello regionale con la partecipazione di operatori pubblici e privati coordinati dalla Direzione dei Servizi Sociali e dall'Agenzia Regionale Socio Sanitaria.

Si ricorda che, attraverso l'autorizzazione all'esercizio, si riconosce al servizio o alla struttura la possibilità di operare fornendo liberamente al cittadino i servizi e le prestazioni dichiarate. Con l'accreditamento, invece, si riconosce ai soggetti autorizzati la possibilità di fornire prestazioni o servizi che possono essere compensati con l'impiego di risorse pubbliche."
"Possono presentare domanda di partecipazione alla presente procedura di appalto i soggetti indicati dall'art. 34 del D.Lgs 163/2006, in possesso dei seguenti requisiti:
- requisiti di ordine generale: assenza delle cause di esclusione dalla partecipazione alle gare di appalto previste dall'art. 38 del D.Lgs 163/2006;
- requisiti di idoneità professionale (art. 39 del D.Lgs 163/2006):
    - iscrizione all'Albo nazionale gestori ambientali e presso la competente Camera di commercio, industria, artigianato e agricoltura, secondo l'art. 212 del D. Lgs. n. 152/2006 per le categorie da 1 a 5, classe f (o superiore) e gli artt. 8 e 9 del D. M. n. 406/1998; per le imprese estere, iscrizione nei registri professionali indicati nell'allegato XI C del D. Lgs. n. 163/2006;
- requisiti di capacità economica e finanziaria:
    - fatturato globale d'impresa IVA esclusa, realizzato complessivamente negli ultimi tre esercizi (2011-2012-2013) maggiore o uguale a Euro 96.000,00;
    - fatturato d'impresa IVA esclusa, relativo al servizio specifico oggetto del presente bando, realizzato complessivamente negli ultimi tre esercizi (2011-2012-2013) maggiore o uguale a Euro 96.000,00;
- requisiti di capacità tecnica:
    - dichiarazione, sottoscritta secondo le disposizioni del D.P.R. n. 445/2000, indicante l'attrezzatura, il materiale e l'equipaggiamento tecnico di cui il prestatore del servizio disporrà per eseguire l'appalto, secondo quanto disposto dal Capitolato Speciale di Appalto.

La mancanza di uno qualsiasi dei requisiti sopra elencati, alla scadenza del termine di pubblicazione del presente bando (termine entro il quale dovranno pervenire le domande di partecipazione), sarà motivo di esclusione dalla gara e conseguente escussione della cauzione provvisoria.","Possono presentare domanda di partecipazione alla presente procedura di appalto i soggetti indicati dall'art. 34 del D.Lgs 163/2006, in possesso dei seguenti requisiti:
- requisiti di ordine generale: assenza delle cause di esclusione dalla partecipazione alle gare di appalto previste dall'art. 38 del D.Lgs 163/2006;
- requisiti di idoneità professionale (art. 39 del D.Lgs 163/2006):
    - iscrizione all'Albo nazionale gestori ambientali e presso la competente Camera di commercio, industria, artigianato e agricoltura, secondo l'art. 212 del D. Lgs. n. 152/2006 per le categorie da 1 a 5, classe f (o superiore) e gli artt. 8 e 9 del D. M. n. 406/1998; per le imprese estere, iscrizione nei registri professionali indicati nell'allegato XI C del D. Lgs. n. 163/2006;
- requisiti di capacità economica e finanziaria:
    - fatturato globale d'impresa IVA esclusa, realizzato complessivamente negli ultimi tre esercizi (2011-2012-2013) maggiore o uguale a Euro 96.000,00;
    - fatturato d'impresa IVA esclusa, relativo al servizio specifico oggetto del presente bando, realizzato complessivamente negli ultimi tre esercizi (2011-2012-2013) maggiore o uguale a Euro 96.000,00;
- requisiti di capacità tecnica:
    - dichiarazione, sottoscritta secondo le disposizioni del D.P.R. n. 445/2000, indicante l'attrezzatura, il materiale e l'equipaggiamento tecnico di cui il prestatore del servizio disporrà per eseguire l'appalto, secondo quanto disposto dal Capitolato Speciale di Appalto.

La mancanza di uno qualsiasi dei requisiti sopra elencati, alla scadenza del termine di pubblicazione del presente bando (termine entro il quale dovranno pervenire le domande di partecipazione), sarà motivo di esclusione dalla gara e conseguente escussione della cauzione provvisoria."
"Sono ammesse a presentare l'offerta le associazioni temporanee d'impresa. In questo caso, i documenti richiesti nei punti precedenti devono riferirsi a ogni impresa facente parte dell'Associazione. In aggiunta ai precedenti documenti, dovranno essere presentati i seguenti:
- mandato conferito dalle imprese mandanti all'impresa capogruppo, risultante da scrittura privata autenticata da un Notaio;
- procura relativa al mandato premesso, risultante da un atto pubblico per ciascuna delle imprese riunite.

L'avvenuta costituzione dell'associazione dovrà essere comprovata, per evitare l'esclusione, dalla documentazione elencata sopra da inserire nella busta contenente gli altri documenti.","Sono ammesse a presentare l'offerta le associazioni temporanee d'impresa. In questo caso, i documenti richiesti nei punti precedenti devono riferirsi a ogni impresa facente parte dell'Associazione. In aggiunta ai precedenti documenti, dovranno essere presentati i seguenti:
- mandato conferito dalle imprese mandanti all'impresa capogruppo, risultante da scrittura privata autenticata da un Notaio;
- procura relativa al mandato premesso, risultante da un atto pubblico per ciascuna delle imprese riunite.

L'avvenuta costituzione dell'associazione dovrà essere comprovata, per evitare l'esclusione, dalla documentazione elencata sopra. Questa documentazione deve essere inserita nella busta contenente gli altri documenti."
"La Carta dei Servizi viene proposta ai cittadini come documento essenziale di trasparenza. È stato quindi svolto un doveroso lavoro di aggiornamento della Carta approvata nel 2018 per descrivere la situazione attuale, per rendere costante l'opera di informazione e di coinvolgimento della Città sui temi del sociale. Infatti, l'articolo 118 della Costituzione ha permesso che fosse ridefinito il rapporto tra il Comune e i soggetti che producono welfare: il principio di sussidiarietà, in esso formulato, implica che le Istituzioni debbano creare le condizioni necessarie per permettere alla persona e alle aggregazioni sociali di essere soggetti attivi non solo nella fruizione, ma anche nell'erogazione dei servizi.

Seguendo questo indirizzo, dal 2017 il Comune di Brescia, attraverso il sistema di qualificazione e accreditamento, ha creato le premesse per attuare nel concreto il principio di sussidiarietà e ampliare l'offerta dei servizi nella massima trasparenza e nel rispetto della libera scelta degli utenti.","La Carta dei Servizi viene proposta ai cittadini come documento essenziale di trasparenza. È stato quindi svolto un doveroso lavoro di aggiornamento della Carta approvata nel 2018 per descrivere la situazione attuale. Questo lavoro è stato svolto per rendere costante l'opera di informazione e di coinvolgimento della Città sui temi del sociale. Infatti, l'articolo 118 della Costituzione ha permesso che fosse ridefinito il rapporto tra il Comune e i soggetti che producono welfare. Il principio di sussidiarietà, in esso formulato, implica che le Istituzioni debbano creare le condizioni necessarie per permettere alla persona e alle aggregazioni sociali di essere soggetti attivi non solo nella fruizione, ma anche nell'erogazione dei servizi.

Seguendo questo indirizzo, dal 2017 il Comune di Brescia ha creato le premesse per attuare nel concreto il principio di sussidiarietà e per ampliare l'offerta dei servizi nella massima trasparenza e nel rispetto della libera scelta degli utenti. Il Comune di Brescia ha fatto questo attraverso il sistema di qualificazione e accreditamento."
"La Carta dei Servizi Sociali del Comune di Brescia individua gli interventi e i servizi sociali offerti, i destinatari, le informazioni relative alle prestazioni e alle attività minime garantite, le modalità e i requisiti di accesso agli interventi e ai servizi, l'eventuale compartecipazione alla spesa da parte del cittadino, gli standard di qualità e gli strumenti di valutazione e controllo dell'efficacia.

Attraverso la Carta dei Servizi Sociali, il Comune di Brescia promuove la diffusione delle informazioni sugli interventi sociali attivati dalla rete dell'offerta privata accreditata/convenzionata presente sul territorio comunale. Esercitando la sua funzione di governo della rete dei servizi sociali, focalizzandosi sulla compartecipazione dell'erogazione dei servizi, il Comune di Brescia assicura che ogni Unità d'Offerta sociale accreditata presente sul suo territorio abbia una propria carta dei servizi.","La Carta dei Servizi Sociali del Comune di Brescia individua gli interventi e i servizi sociali offerti. Inoltre, individua i destinatari, le informazioni relative alle prestazioni e alle attività minime garantite. In aggiunta, individua le modalità e i requisiti di accesso agli interventi e ai servizi. Infine, individua l'eventuale compartecipazione alla spesa da parte del cittadino, gli standard di qualità e gli strumenti di valutazione e controllo dell'efficacia.

Attraverso la Carta dei Servizi Sociali, il Comune di Brescia promuove la diffusione delle informazioni sugli interventi sociali attivati dalla rete dell'offerta privata accreditata/convenzionata presente sul territorio comunale. Il Comune di Brescia assicura che ogni Unità d'Offerta sociale accreditata presente sul suo territorio abbia una propria carta dei servizi. Lo fa esercitando la sua funzione di governo della rete dei servizi sociali focalizzandosi sulla compartecipazione dell'erogazione dei servizi."
